symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
AEGISVOPAK,292.3,280.57,254.43,233.5,True,6.16,True,0.83,False,0.67,True,True,True,True,94,60.1,64.6,,298.3,290.21,8
MOTHERSON,146.72,145.24,142.0,127.07,True,5.33,True,0.52,True,0.96,False,True,True,True,89,55.1,60.9,,147.54,144.69,8
FEDERALBNK,354.15,344.04,327.02,285.31,True,1.6,True,0.45,True,0.63,True,False,False,False,95,68.2,74.1,,359.71,352.5,7
HSCL,760.5,733.64,682.65,568.17,True,7.2,True,0.51,True,0.94,False,True,False,False,93,59.1,73.2,,774.37,752.35,7
KARURVYSYA,340.3,320.13,305.6,278.7,True,1.42,True,0.56,True,0.61,True,False,False,False,90,69.0,67.4,,344.84,338.66,7
VIJAYA,1360.2,1348.93,1310.38,1147.57,True,5.54,True,0.23,True,0.68,True,True,False,False,80,53.3,60.2,,1376.07,1349.75,7
INDUSINDBK,1011.45,1002.4,966.92,898.53,True,6.16,True,0.71,False,0.69,True,True,True,True,74,54.7,62.2,,1014.61,998.0,7
CHOICEIN,798.7,793.1,758.15,737.03,True,7.18,True,0.43,True,0.68,True,True,True,True,69,57.0,57.9,,803.8,794.3,7
RRKABEL,2562.2,2411.78,2250.83,1789.19,True,7.67,True,2.49,False,1.29,False,True,False,False,97,64.8,69.9,,2624.62,2538.56,6
M&MFIN,392.55,349.28,327.62,315.09,True,2.62,True,1.22,False,1.14,False,True,False,False,96,74.0,65.8,,399.2,388.31,6
BHARATFORG,2164.7,2147.19,2071.45,1774.69,True,2.98,True,0.56,True,0.81,False,False,False,False,94,56.3,70.3,,2177.58,2139.26,6
MINDACORP,706.9,682.28,654.86,593.31,True,0.95,True,0.4,True,1.15,False,False,False,False,93,61.5,61.5,,711.61,684.91,6
BELRISE,232.79,231.75,227.99,195.99,True,7.62,True,0.55,True,0.75,False,False,False,False,92,51.4,61.9,,233.61,228.12,6
GLAND,2517.0,2443.49,2331.2,2022.29,True,2.67,True,0.54,True,0.9,False,False,False,False,91,59.5,66.2,,2588.59,2490.51,6
SAREGAMA,521.4,498.84,468.06,424.18,True,2.71,True,0.18,True,1.04,False,False,False,False,91,61.3,67.0,,536.44,519.33,6
BHEL,403.0,407.22,395.02,331.21,False,9.74,True,0.59,True,0.78,False,True,True,True,90,48.7,60.0,,406.41,399.35,6
ANANDRATHI,2039.3,2038.59,1952.55,1684.73,True,6.29,True,0.23,True,0.77,False,False,False,False,89,54.6,73.8,,2067.47,2027.97,6
GODREJIND,1309.4,1298.06,1212.91,1108.63,True,9.26,True,0.34,True,0.81,False,False,False,False,86,55.8,63.1,,1321.22,1270.83,6
