symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_score,entry_trigger,stop_loss,score
ANURAS,1372.1,1325.57,1297.38,1199.88,True,3.03,True,2.18,False,1.1,False,True,True,True,16.78,1383.38,1352.95,5
ACUTAAS,2734.3,2519.06,2345.94,1874.35,True,0.9,True,1.12,False,0.99,False,True,False,False,68.01,2761.76,2697.3,4
NATCOPHARM,1174.7,1101.31,1040.4,933.76,True,3.56,True,0.51,True,1.16,False,False,False,False,35.72,1219.22,1150.95,4
AUBANK,1050.4,1009.05,981.53,893.69,True,2.7,True,0.59,True,0.86,False,False,False,False,30.45,1053.35,1025.27,4
CHENNPETRO,1076.9,1058.24,1007.35,875.62,True,7.14,True,0.47,True,0.76,False,False,False,False,27.84,1112.01,1072.93,4
CUMMINSIND,5401.0,5187.04,4938.9,4329.32,True,1.27,True,0.52,True,0.79,False,False,False,False,22.51,5475.97,5375.62,4
AIAENG,3971.9,3915.51,3846.59,3650.34,True,5.57,True,0.34,True,0.97,False,False,False,False,20.72,4053.95,3951.04,4
TORNTPOWER,1724.4,1659.38,1557.95,1422.66,True,5.47,True,0.48,True,0.8,False,False,True,False,19.84,1736.63,1708.29,4
ANANDRATHI,3608.8,3543.9,3370.68,2958.81,True,3.38,True,1.03,False,0.82,False,True,False,False,16.7,3637.63,3596.4,4
TORNTPHARM,4380.8,4235.83,4189.79,3886.48,True,2.28,True,0.51,True,1.07,False,False,False,False,15.42,4402.8,4332.36,4
INDUSINDBK,950.75,893.8,875.23,842.41,True,1.87,True,0.56,True,1.02,False,False,False,False,11.85,958.86,939.56,4
ENGINERSIN,256.45,244.73,225.05,203.71,True,3.95,True,0.45,True,0.91,False,False,False,False,3.86,263.26,255.74,4
ZYDUSWELL,517.5,496.56,469.97,435.21,True,6.32,True,0.11,True,0.76,False,False,False,False,3.76,523.57,501.05,4
PHOENIXLTD,1829.3,1768.11,1722.45,1680.66,True,8.21,True,0.56,True,0.87,False,False,False,False,2.67,1846.84,1808.39,4
DIVISLAB,6710.5,6437.87,6304.1,6262.09,True,4.67,True,0.95,False,0.96,False,True,False,False,2.45,6765.76,6668.32,4
