symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_score,entry_trigger,stop_loss,score
ELGIEQUIP,559.1,543.02,521.85,500.57,True,8.1,True,0.47,True,0.94,False,False,False,False,0.93,572.37,555.79,4
GALLANTT,869.25,818.01,721.32,605.13,True,8.31,True,0.18,True,0.72,False,False,False,False,0.65,890.09,849.8,4
MCX,3097.8,2870.25,2692.05,2185.2,True,1.22,True,0.73,False,1.24,False,False,False,False,59.38,3139.14,3019.38,3
KIRLOSENG,1728.9,1647.15,1525.55,1225.55,True,2.05,True,0.66,False,0.85,False,False,True,False,58.54,1751.65,1720.28,3
HINDCOPPER,569.2,544.85,535.2,441.85,True,24.99,False,0.57,True,1.09,False,False,True,False,55.76,575.57,558.54,3
BSE,3907.4,3573.14,3271.77,2768.28,True,2.17,True,1.1,False,1.39,False,False,False,False,51.12,3997.99,3828.47,3
FEDERALBNK,297.25,289.61,283.71,254.58,True,1.57,True,0.79,False,0.99,False,False,False,False,47.87,298.75,291.16,3
BHARATFORG,1989.7,1873.82,1795.94,1534.44,True,2.66,True,1.94,False,1.51,False,False,False,False,46.23,2046.04,1973.12,3
POWERINDIA,34005.0,31660.53,28251.23,22243.07,True,3.11,True,1.09,False,1.29,False,False,False,False,42.21,35130.09,33411.56,3
KARURVYSYA,304.65,295.54,291.81,261.53,True,11.3,True,1.57,False,1.35,False,False,False,False,34.48,319.67,301.9,3
GESHIP,1588.3,1496.45,1421.74,1207.58,True,1.89,True,1.07,False,1.17,False,False,False,False,33.63,1620.52,1536.46,3
NAVINFLUOR,7041.5,6660.05,6419.96,5768.01,True,2.2,True,1.47,False,0.85,False,False,True,False,31.06,7102.6,6989.5,3
TITAN,4509.0,4383.18,4296.64,3959.39,True,2.08,True,1.9,False,1.49,False,False,False,False,30.09,4609.6,4209.19,3
ATHERENERG,915.05,892.5,826.46,661.88,True,6.85,True,1.28,False,1.07,False,False,False,False,29.97,939.94,902.25,3
SONACOMS,579.3,574.27,548.57,506.2,True,5.65,True,1.93,False,0.95,False,False,True,False,27.58,582.48,574.13,3
MAHABANK,83.9,77.96,72.78,63.08,True,2.33,True,0.98,False,0.95,False,False,False,False,25.69,85.4,82.59,3
LAURUSLABS,1228.3,1130.44,1084.57,969.9,True,0.78,True,2.16,False,1.31,False,False,False,False,25.33,1239.14,1204.79,3
APARINDS,12810.0,11948.24,10999.74,9277.98,True,0.7,True,0.78,False,0.84,False,False,False,False,24.7,12902.89,12710.28,3
ANGELONE,326.0,305.29,281.01,256.77,True,2.67,True,0.64,False,1.03,False,False,False,False,23.54,335.28,318.68,3
AUROPHARMA,1487.3,1407.37,1341.78,1227.2,True,1.72,True,0.88,False,1.33,False,False,False,False,22.99,1514.91,1478.62,3
HINDALCO,1044.4,1027.95,985.55,872.83,True,3.3,True,0.65,False,0.98,False,False,False,False,21.97,1059.06,1034.26,3
SAIL,184.88,178.91,168.47,147.7,True,2.95,True,0.61,False,0.88,False,False,False,False,21.82,187.89,183.97,3
ABSLAMC,1072.4,1035.77,980.59,858.04,True,4.55,True,1.1,False,0.99,False,False,True,False,19.65,1089.99,1062.84,3
BELRISE,222.39,213.59,201.89,169.37,True,2.8,True,0.94,False,1.03,False,False,False,False,19.13,229.03,221.78,3
GRANULES,752.95,692.97,650.13,581.39,True,1.11,True,1.77,False,1.15,False,False,False,False,18.73,762.16,737.26,3
TATASTEEL,214.49,210.85,204.66,185.57,True,2.15,True,0.68,False,0.92,False,False,False,False,17.88,217.62,214.04,3
GVT&D,4625.5,4385.98,4049.4,3261.15,True,4.61,True,1.18,False,1.11,False,False,False,False,17.51,4853.85,4605.79,3
JBCHEPHARM,2149.8,2062.83,2025.94,1870.35,True,2.06,True,0.8,False,1.18,False,False,True,False,17.2,2166.16,2132.77,3
J&KBANK,141.76,130.97,123.6,110.69,True,2.23,True,1.16,False,1.2,False,False,True,False,17.05,142.65,138.96,3
RBLBANK,343.45,327.47,318.17,291.61,True,1.84,True,0.92,False,1.22,False,False,True,False,17.02,350.05,339.06,3
LUPIN,2379.5,2345.3,2305.75,2162.73,True,4.59,True,2.04,False,1.5,False,False,False,False,16.24,2477.48,2345.55,3
GRAPHITE,751.75,707.17,678.11,609.97,True,1.69,True,0.77,False,0.94,False,False,False,False,15.84,765.46,724.82,3
DATAPATTNS,4103.4,3898.88,3537.23,2951.66,True,4.64,True,0.81,False,0.96,False,False,False,False,15.71,4291.29,4081.01,3
ADANIPOWER,225.33,210.56,185.6,152.2,True,3.87,True,1.07,False,0.94,False,False,False,False,14.88,231.66,223.81,3
LINDEINDIA,7808.5,7380.23,7101.84,6597.36,True,2.99,True,2.06,False,1.35,False,False,True,False,14.48,8013.0,7744.25,3
AJANTPHARM,3035.0,2889.64,2862.99,2738.08,True,5.98,True,2.32,False,1.31,False,False,False,False,14.23,3098.1,3024.67,3
HINDZINC,635.1,596.36,578.97,535.65,True,11.77,True,0.98,False,0.94,False,False,False,False,13.8,643.14,628.52,3
SCHNEIDER,1344.6,1182.74,1039.42,861.64,True,1.85,True,0.95,False,1.21,False,False,False,False,13.8,1361.16,1308.69,3
ADANIENSOL,1353.6,1307.72,1178.07,1009.08,True,7.52,True,1.45,False,0.87,False,False,False,False,13.07,1398.4,1344.65,3
LLOYDSME,1736.3,1668.48,1505.53,1354.57,True,5.94,True,1.54,False,1.41,False,False,False,False,13.03,1756.76,1701.0,3
JINDALSTEL,1248.4,1240.76,1207.22,1101.53,True,4.43,True,1.46,False,0.98,False,False,False,False,12.69,1261.26,1237.96,3
TIMKEN,3595.0,3470.5,3388.72,3168.78,True,2.3,True,1.08,False,1.08,False,False,False,False,12.26,3641.54,3457.04,3
KEI,5099.6,4861.37,4657.43,4258.71,True,3.84,True,2.1,False,1.43,False,False,True,False,11.77,5185.08,5059.24,3
ABCAPITAL,362.95,347.62,339.4,314.37,True,3.46,True,1.3,False,1.24,False,False,False,False,11.33,370.22,360.99,3
NTPC,402.15,395.98,384.66,355.84,True,2.96,True,0.61,False,0.98,False,False,False,False,11.16,405.51,396.75,3
MOTHERSON,132.03,123.82,121.29,112.96,True,2.73,True,0.96,False,1.0,False,False,False,False,11.07,132.89,130.39,3
AARTIIND,485.45,475.59,450.15,417.03,True,7.2,True,2.3,False,1.24,False,False,True,False,10.8,491.04,483.62,3
NMDC,88.8,88.03,84.68,77.47,True,4.28,True,0.64,False,0.98,False,False,False,False,10.8,90.59,88.58,3
MUTHOOTFIN,3528.9,3483.03,3465.76,3289.93,True,14.24,True,0.64,False,1.1,False,False,False,False,10.6,3597.59,3510.59,3
SAILIFE,1115.6,1046.24,1004.19,911.4,True,0.75,True,0.82,False,0.91,False,False,False,False,10.3,1125.12,1078.92,3
GLENMARK,2366.4,2322.31,2225.18,2014.95,True,4.35,True,1.18,False,1.04,False,False,False,False,9.76,2387.28,2313.48,3
HONASA,359.25,340.46,322.19,293.21,True,0.98,True,0.61,False,1.08,False,False,False,False,9.37,363.16,352.1,3
IPCALAB,1552.6,1527.28,1509.83,1451.52,True,4.4,True,0.82,False,1.17,False,False,False,False,8.87,1612.11,1544.05,3
BHEL,404.6,347.33,309.97,270.56,True,1.05,True,3.01,False,1.61,False,False,False,False,8.44,409.31,399.7,3
WELCORP,1291.9,1173.67,1028.86,892.98,True,1.76,True,0.85,False,0.92,False,False,False,False,8.44,1316.31,1279.82,3
BAJAJ-AUTO,10711.5,9919.28,9656.5,9155.74,True,0.68,True,1.83,False,1.41,False,False,False,False,7.91,10795.78,10529.46,3
GMRAIRPORT,101.32,97.1,95.97,94.0,True,8.19,True,1.27,False,1.16,False,False,False,False,7.33,101.89,99.9,3
CANFINHOME,879.55,876.36,869.16,840.33,True,9.46,True,0.97,False,0.96,False,False,False,False,6.56,895.69,876.32,3
SCI,339.05,297.65,272.18,234.68,True,1.72,True,1.92,False,1.08,False,False,False,False,6.54,345.34,318.43,3
ZFCVINDIA,14571.0,14613.93,14504.55,14025.68,False,12.57,True,0.47,True,0.68,True,False,True,False,6.41,14706.69,14516.47,3
NYKAA,272.8,264.68,259.5,244.46,True,4.48,True,0.74,False,1.18,False,False,True,False,5.95,274.27,268.98,3
SUNPHARMA,1847.9,1770.65,1746.39,1715.66,True,0.53,True,0.78,False,0.79,False,False,False,False,5.8,1859.36,1817.38,3
BEL,439.7,438.34,436.0,410.17,True,7.13,True,0.72,False,0.83,False,False,False,False,5.4,444.24,437.36,3
DELHIVERY,479.1,462.69,447.93,419.45,True,2.22,True,1.33,False,1.08,False,False,False,False,5.16,487.99,475.37,3
MARICO,831.3,787.04,772.04,740.21,True,1.41,True,1.7,False,1.51,False,False,False,False,5.13,837.34,824.27,3
RRKABEL,1942.4,1621.94,1513.16,1380.51,True,2.1,True,5.95,False,1.55,False,False,False,False,5.09,1985.98,1905.09,3
LTF,303.4,286.99,281.61,262.44,True,7.91,True,0.69,False,1.0,False,False,False,False,5.01,305.51,300.4,3
IDEA,11.24,10.21,10.0,9.53,True,12.19,True,1.22,False,1.66,False,False,False,False,4.31,11.45,11.0,3
NESTLEIND,1482.4,1402.33,1331.98,1255.41,True,0.93,True,1.2,False,0.83,False,False,False,False,4.3,1497.8,1468.53,3
PFC,461.35,453.01,432.51,399.9,True,5.17,True,0.76,False,0.97,False,False,False,False,4.19,467.72,455.09,3
ATUL,7088.5,6775.6,6563.27,6321.43,True,8.68,True,0.84,False,1.0,False,False,True,False,4.14,7119.11,7009.48,3
THERMAX,4677.5,4029.92,3681.74,3332.02,True,1.71,True,4.41,False,1.27,False,False,False,False,3.99,4763.76,4301.69,3
HSCL,637.65,567.53,518.32,477.92,True,2.57,True,2.85,False,1.52,False,False,False,False,3.89,647.55,610.49,3
ASTERDM,742.4,707.22,676.88,625.24,True,3.58,True,4.14,False,1.47,False,False,False,False,3.68,748.9,729.37,3
SIEMENS,3822.6,3704.85,3485.6,3246.81,True,2.73,True,0.88,False,0.89,False,False,False,False,3.35,3910.81,3782.21,3
NAM-INDIA,1103.4,1016.1,957.96,865.34,True,1.3,True,1.07,False,0.86,False,False,False,False,2.87,1119.02,1093.9,3
JSWSTEEL,1277.8,1252.51,1225.11,1161.83,True,2.22,True,0.7,False,0.88,False,False,False,False,2.81,1286.18,1265.53,3
POLYCAB,9083.0,8200.34,7884.23,7356.22,True,0.83,True,1.78,False,1.29,False,False,False,False,2.81,9168.16,8943.55,3
STARHEALTH,520.15,508.48,489.07,460.8,True,11.28,True,0.84,False,0.86,False,False,False,False,2.79,532.88,514.53,3
EICHERMOT,7302.5,7191.81,7191.79,6858.0,True,11.27,True,0.82,False,1.09,False,False,False,False,2.74,7377.37,7220.77,3
FINCABLES,1141.3,991.87,919.15,851.56,True,2.69,True,2.01,False,1.65,False,False,False,False,2.45,1173.97,1092.66,3
ADANIPORTS,1760.4,1632.64,1546.59,1453.43,True,1.76,True,1.51,False,1.26,False,False,False,False,2.41,1793.79,1725.97,3
SOLARINDS,16105.0,15205.02,14481.52,13716.75,True,9.57,True,0.6,False,0.98,False,False,False,False,2.15,16215.2,15884.1,3
SYRMA,1100.15,982.88,902.24,781.6,True,3.19,True,1.22,False,1.33,False,False,False,False,1.94,1137.59,1081.22,3
TATAPOWER,436.0,432.72,413.06,392.17,True,6.22,True,0.61,False,0.72,False,False,False,False,0.01,441.04,434.27,3
THELEELA,423.45,425.18,425.33,426.3,False,10.74,True,1.84,False,1.01,False,True,True,True,-0.19,425.42,416.53,3
APOLLOHOSP,8097.0,7720.77,7596.87,7380.36,True,0.22,True,1.13,False,1.03,False,False,False,False,-0.51,8123.11,7804.69,3
CRAFTSMAN,8981.5,7785.93,7546.85,6986.61,True,7.77,True,21.45,False,1.9,False,False,False,False,-0.72,9747.74,8648.84,3
BANDHANBNK,206.11,189.44,176.58,163.83,True,3.08,True,1.39,False,0.9,False,False,False,False,-0.73,208.16,203.48,3
HFCL,141.15,112.55,93.81,79.34,True,4.42,True,4.35,False,1.58,False,False,False,False,-0.92,147.1,137.66,3
GRASIM,2968.6,2814.09,2771.2,2751.88,True,0.4,True,0.7,False,1.07,False,False,False,False,-1.26,2983.38,2929.17,3
