symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
NEULANDLAB,23010.0,22479.77,20714.21,17271.54,True,3.65,True,0.57,True,0.69,True,False,False,False,96,60.7,81.4,⚠️ W RSI>75,23355.33,22801.18,7
CGCL,256.46,239.0,231.79,205.55,True,3.05,True,3.43,False,1.57,False,True,True,True,86,62.8,66.6,,258.96,248.68,7
CARTRADE,2991.5,2924.25,2746.46,2405.55,True,9.09,True,0.51,True,1.34,False,False,False,False,97,57.6,70.5,,3087.38,2947.05,6
CHENNPETRO,1367.4,1337.96,1243.56,1031.38,True,8.21,True,0.46,True,0.73,False,False,False,False,97,56.7,68.1,,1381.38,1323.77,6
KALYANKJIL,601.0,599.47,548.18,479.13,True,7.39,True,0.34,True,0.91,False,False,False,False,96,54.7,67.8,,616.52,600.4,6
SONACOMS,813.05,797.6,743.99,610.54,True,3.67,True,0.59,True,0.87,False,False,False,False,95,61.5,75.6,⚠️ W RSI>75,821.32,798.6,6
WELSPUNLIV,196.21,179.85,168.62,147.09,True,0.9,True,0.46,True,0.82,False,False,False,False,95,74.5,74.8,,198.2,187.12,6
MOTHERSON,170.68,164.48,155.97,134.39,True,1.49,True,0.59,True,0.86,False,False,False,False,93,67.7,69.1,,170.85,163.58,6
KARURVYSYA,347.6,338.74,325.6,292.02,True,3.08,True,0.57,True,1.27,False,False,False,False,91,61.9,66.6,,351.8,344.16,6
NYKAA,349.55,332.6,320.89,282.91,True,0.0,True,0.59,True,0.95,False,False,False,False,90,67.0,71.4,,349.9,333.02,6
ANANDRATHI,2204.2,2151.61,2067.79,1788.1,True,1.55,True,0.45,True,0.78,False,False,False,False,89,66.7,77.7,⚠️ W RSI>75,2241.24,2180.12,6
GLAND,2885.8,2778.32,2589.42,2165.14,True,5.07,True,0.4,True,0.79,False,False,False,False,89,64.8,72.0,,2916.71,2842.95,6
HONASA,480.9,473.48,454.16,376.21,True,5.08,True,0.49,True,0.93,False,False,False,False,89,56.5,74.6,,489.44,465.78,6
IPCALAB,1974.9,1863.96,1783.35,1606.84,True,0.86,True,0.78,False,0.65,True,False,False,False,88,70.3,70.0,,1989.49,1941.66,6
LTF,321.0,316.42,309.93,286.29,True,5.2,True,0.59,True,0.95,False,False,False,False,87,55.2,63.1,,321.32,306.24,6
AJANTPHARM,3601.9,3559.46,3433.88,3061.11,True,5.11,True,0.52,True,0.9,False,False,False,False,85,58.5,67.0,,3669.67,3511.48,6
FLUOROCHEM,4693.5,4596.94,4360.06,3837.72,True,5.35,True,0.58,True,0.81,False,False,False,False,85,60.3,74.7,,4834.73,4670.32,6
ATHERENERG,1717.7,1476.92,1334.13,977.56,True,0.0,True,1.91,False,1.06,False,False,False,False,99,78.4,73.4,,1719.42,1624.77,5
HFCL,249.09,228.9,211.73,148.52,True,2.96,True,0.64,False,1.03,False,False,False,False,99,67.8,72.7,,256.96,247.25,5
WELCORP,2391.0,2093.31,1826.68,1328.54,True,2.16,True,2.0,False,1.39,False,False,False,False,99,78.8,89.9,⚠️ W RSI>75,2427.42,2325.67,5
CPPLUS,3566.0,3527.03,3444.22,2599.09,True,12.9,True,1.08,False,0.89,False,False,False,False,98,52.1,65.6,,3605.6,3456.74,5
APARINDS,17702.0,16700.07,15606.18,12602.92,True,4.13,True,0.82,False,0.78,False,False,False,False,98,64.3,66.1,,18062.04,17532.45,5
