symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
CEMPRO,1112.8,969.77,846.22,738.56,True,3.15,True,0.58,True,1.25,False,False,False,False,99,71.7,73.8,,1150.15,1075.22,6
GRANULES,789.85,761.64,714.18,612.57,True,1.8,True,0.42,True,0.91,False,False,False,False,93,69.4,81.8,⚠️ W RSI>75,798.7,776.57,6
HONASA,416.1,387.93,358.25,310.07,True,2.07,True,0.45,True,0.99,False,False,False,False,91,71.8,73.1,,422.82,410.94,6
RADICO,3490.7,3466.79,3299.77,3022.35,True,5.12,True,0.46,True,0.88,False,False,True,False,91,55.9,62.8,,3551.25,3461.83,6
TRITURBINE,686.9,662.65,602.11,543.83,True,12.79,True,0.28,True,1.0,False,False,True,False,89,59.7,71.9,,699.9,680.87,6
POLYCAB,9699.0,9303.9,8723.21,7715.98,True,1.36,True,0.5,True,1.03,False,False,False,False,87,73.6,71.8,,9842.83,9646.34,6
ABCAPITAL,357.5,354.38,347.96,322.99,True,4.91,True,0.58,True,1.19,False,False,False,False,85,54.0,56.2,,366.67,352.55,6
ZYDUSWELL,504.6,497.7,485.63,448.03,True,8.65,True,0.12,True,0.92,False,False,False,False,85,54.8,58.6,,511.51,492.11,6
ATHERENERG,1033.6,951.4,895.14,713.57,True,1.28,True,1.16,False,1.29,False,False,False,False,99,66.0,71.0,,1043.04,982.77,5
HFCL,187.23,165.19,134.31,94.77,True,10.41,True,1.11,False,1.16,False,False,False,False,99,72.7,86.5,⚠️ W RSI>75,197.2,187.04,5
ACUTAAS,3328.3,2969.2,2705.42,2081.77,True,0.62,True,0.88,False,1.3,False,False,False,False,98,74.6,78.4,⚠️ W RSI>75,3352.25,3158.54,5
ADANIENSOL,1579.0,1445.89,1324.46,1091.38,True,0.78,True,1.04,False,0.91,False,False,False,False,98,71.1,72.6,,1592.99,1525.47,5
ADANIPOWER,232.6,229.26,210.17,166.42,True,8.5,True,0.65,False,0.97,False,False,False,False,98,56.8,72.4,,236.49,229.87,5
SYRMA,1226.8,1092.73,1004.86,837.04,True,0.58,True,0.97,False,0.98,False,False,False,False,98,79.6,70.4,,1235.23,1211.59,5
IDEA,14.95,13.56,12.12,10.28,True,1.97,True,1.02,False,0.96,False,False,False,False,98,85.4,72.9,⚠️ D RSI>80,15.27,14.91,5
ADANIGREEN,1525.7,1406.48,1274.48,1082.45,True,0.44,True,0.96,False,0.97,False,False,False,False,97,71.4,72.2,,1531.53,1428.67,5
GVT&D,5067.0,4792.49,4453.0,3526.94,True,2.97,True,1.49,False,1.15,False,False,False,False,97,63.2,74.0,,5108.1,4981.51,5
LAURUSLABS,1446.8,1344.08,1238.37,1041.21,True,0.23,True,1.03,False,1.06,False,False,False,False,97,81.3,80.0,⚠️ D+W OB,1451.55,1426.97,5
NETWEB,4666.0,4292.28,3976.83,3334.0,True,6.02,True,2.19,False,1.33,False,False,False,False,97,63.8,70.8,,4934.93,4646.35,5
WELCORP,1388.8,1335.81,1206.24,974.24,True,2.68,True,0.99,False,0.89,False,False,False,False,97,66.5,78.7,⚠️ W RSI>75,1415.21,1377.92,5
BELRISE,215.98,214.95,208.72,177.43,True,5.6,True,0.6,False,0.79,False,False,True,False,96,52.9,65.5,,219.5,215.03,5
POWERINDIA,36870.0,35242.59,32180.08,24628.3,True,4.94,True,1.47,False,1.14,False,False,False,False,96,61.8,75.0,,37477.44,36563.4,5
KIRLOSENG,1913.3,1793.34,1665.85,1324.08,True,3.89,True,1.07,False,1.05,False,False,True,False,96,65.0,75.8,⚠️ W RSI>75,1975.97,1900.4,5
ACMESOLAR,356.65,310.8,291.81,262.12,True,0.93,True,3.08,False,1.7,False,False,False,False,95,78.5,72.1,,360.36,339.51,5
HSCL,685.05,606.61,566.94,501.11,True,1.86,True,1.69,False,1.23,False,False,False,False,95,75.4,67.9,,698.7,623.58,5
RRKABEL,2223.4,1991.75,1795.3,1498.07,True,0.73,True,1.57,False,1.21,False,False,False,False,95,77.8,77.2,⚠️ W RSI>75,2242.04,2179.92,5
THERMAX,4832.1,4615.68,4217.81,3565.62,True,4.79,True,0.91,False,1.1,False,False,True,False,95,63.1,79.3,⚠️ W RSI>75,4964.96,4781.81,5
APARINDS,13878.0,12968.07,12097.24,9895.65,True,2.09,True,1.25,False,1.19,False,False,False,False,94,66.7,72.4,,14188.17,13641.34,5
LLOYDSME,1778.6,1768.12,1653.27,1431.5,True,5.82,True,0.68,False,0.86,False,False,False,False,93,55.6,70.4,,1831.93,1770.23,5
VIJAYA,1372.4,1269.19,1176.56,1058.61,True,3.88,True,1.75,False,1.43,False,False,False,False,93,65.2,71.8,,1429.23,1342.66,5
ATGL,762.25,701.05,646.63,602.99,True,11.35,True,1.68,False,1.1,False,False,False,False,92,64.3,67.0,,770.77,740.26,5
CHENNPETRO,1181.4,1085.88,1041.93,912.14,True,3.56,True,0.81,False,1.6,False,False,False,False,92,70.6,65.5,,1204.4,1130.47,5
CUMMINSIND,5784.0,5575.65,5287.29,4542.36,True,5.18,True,0.75,False,1.04,False,False,False,False,92,62.6,76.8,⚠️ W RSI>75,5874.87,5744.25,5
USHAMART,513.1,487.41,464.94,427.18,True,2.73,True,1.04,False,1.16,False,False,True,False,92,65.2,68.2,,525.52,508.49,5
