symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
RRKABEL,2631.9,2449.2,2279.04,1804.13,True,5.16,True,1.8,False,1.03,False,True,True,True,97,68.4,75.5,⚠️ W RSI>75,2658.66,2602.49,7
SCHNEIDER,1346.1,1345.63,1311.43,1076.43,True,13.04,True,0.79,False,1.1,False,True,True,True,91,50.3,57.4,,1379.88,1338.16,7
KARURVYSYA,348.1,324.72,308.66,280.55,True,1.05,True,0.53,True,0.6,True,False,False,False,90,72.5,64.9,,352.15,342.16,7
LLOYDSME,2050.6,1928.05,1828.48,1579.68,True,2.35,True,1.34,False,0.99,False,True,True,True,89,67.7,69.8,,2070.07,2033.06,7
AEGISLOG,1388.3,1282.35,1137.0,873.19,True,3.22,True,0.28,True,0.8,False,False,False,False,99,62.7,69.2,,1401.4,1280.82,6
HONASA,458.2,452.62,431.93,359.14,True,6.75,True,0.24,True,1.02,False,False,False,False,96,57.1,68.8,,462.26,436.86,6
FEDERALBNK,371.7,347.95,329.97,286.59,True,0.0,True,0.42,True,0.92,False,False,False,False,95,78.1,77.4,⚠️ W RSI>75,372.07,356.94,6
AEGISVOPAK,301.8,283.42,257.64,233.64,True,3.11,True,0.65,False,0.69,True,False,False,False,94,63.5,71.2,,306.71,292.31,6
MINDACORP,727.6,688.2,659.45,593.43,True,1.13,True,0.57,True,1.09,False,False,False,False,93,66.0,63.5,,736.64,698.8,6
BHEL,411.15,407.57,396.1,332.41,True,7.92,True,0.52,True,0.7,False,False,False,False,91,53.3,62.4,,414.76,406.04,6
CAPLIPOINT,2566.1,2553.18,2414.25,2093.91,True,4.92,True,0.46,True,0.85,False,False,False,False,90,53.0,68.1,,2589.09,2493.7,6
HSCL,750.65,736.73,687.88,570.56,True,8.4,True,0.46,True,1.01,False,False,False,False,90,56.6,73.2,,757.61,734.46,6
SAREGAMA,514.2,502.37,471.93,425.12,True,4.05,True,0.36,True,0.9,False,False,False,False,90,57.7,71.5,,533.43,507.59,6
ANANDRATHI,2058.7,2043.53,1961.28,1695.69,True,5.4,True,0.21,True,0.9,False,False,False,False,89,57.1,72.4,,2117.01,2047.95,6
AIAENG,4684.6,4655.95,4561.03,4069.72,True,9.56,True,0.55,True,1.11,False,False,False,False,88,52.5,60.2,,4704.7,4455.54,6
RBLBANK,379.95,368.28,360.7,324.96,True,0.91,True,1.12,False,0.91,False,True,False,False,87,59.6,63.8,,382.78,375.97,6
GODREJIND,1337.1,1303.46,1221.72,1111.89,True,7.34,True,0.39,True,0.79,False,False,False,False,85,59.8,63.6,,1354.25,1317.88,6
UNITDSPR,1530.0,1443.95,1383.98,1351.55,True,0.44,True,1.15,False,0.95,False,True,True,True,77,73.9,63.5,,1531.53,1511.19,6
JINDALSAW,259.3,259.07,252.25,222.49,True,7.04,True,0.38,True,0.67,True,False,False,False,74,51.0,59.6,,261.06,253.0,6
VIJAYA,1354.0,1349.03,1313.38,1152.52,True,5.97,True,0.42,True,0.65,True,False,False,False,74,52.0,62.9,,1371.07,1333.27,6
IKS,1846.4,1824.15,1765.67,1652.27,True,4.48,True,0.44,True,0.88,False,True,True,True,67,54.6,56.2,,1859.86,1837.46,6
