symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
AIAENG,4776.0,4676.63,4583.68,4094.0,True,7.8,True,0.49,True,1.3,False,True,True,True,91,57.4,59.5,,4853.05,4746.35,8
CAPLIPOINT,2574.1,2558.41,2437.09,2112.13,True,4.63,True,0.31,True,0.72,False,True,True,True,91,53.2,71.4,,2600.2,2554.14,8
KARURVYSYA,335.55,329.04,312.99,282.75,True,4.62,True,0.41,True,0.86,False,True,True,True,89,60.0,67.1,,339.54,333.72,8
SYRMA,1424.7,1380.06,1313.43,1030.09,True,6.13,True,0.89,False,0.88,False,True,True,True,96,58.4,68.1,,1435.43,1406.09,7
RADICO,4499.0,4270.19,3989.45,3390.46,True,1.99,True,1.08,False,1.02,False,True,True,True,93,72.1,80.9,⚠️ W RSI>75,4503.5,4427.27,7
HSCL,752.65,742.34,697.6,576.68,True,8.16,True,0.24,True,0.67,True,False,False,False,92,56.1,70.8,,772.72,750.25,7
AEGISLOG,1371.0,1315.1,1173.14,893.06,True,8.47,True,0.54,True,1.19,False,False,True,False,99,59.0,73.4,,1471.47,1349.75,6
HONASA,477.6,457.15,436.95,363.17,True,2.8,True,0.44,True,0.98,False,False,False,False,96,68.6,73.4,,480.48,464.98,6
FEDERALBNK,356.25,350.91,333.97,289.44,True,4.16,True,0.38,True,1.28,False,False,False,False,94,58.9,76.0,⚠️ W RSI>75,360.16,350.5,6
CARTRADE,2793.0,2777.74,2593.01,2302.63,True,15.12,False,0.23,True,0.55,True,False,False,False,93,53.2,63.9,,2810.81,2735.26,6
OFSS,11805.0,11346.11,10750.59,9164.72,True,1.45,True,0.58,True,0.7,False,False,False,False,90,63.5,67.8,,11868.86,11560.43,6
ANANDRATHI,2101.5,2050.33,1976.22,1709.31,True,3.43,True,0.41,True,1.01,False,False,False,False,89,63.1,71.5,,2109.11,2058.94,6
CRAFTSMAN,10483.0,9820.58,9361.64,8103.48,True,2.59,True,0.57,True,1.12,False,False,False,False,88,70.3,74.7,,10772.76,10305.68,6
LLOYDSME,2101.2,1977.04,1865.03,1598.23,True,0.41,True,0.87,False,0.68,True,False,False,False,88,69.1,79.8,⚠️ W RSI>75,2112.01,2053.54,6
ABB,7600.0,7340.5,7117.12,6391.98,True,2.97,True,1.4,False,0.89,False,True,False,False,87,64.2,64.0,,7677.67,7572.42,6
RBLBANK,389.8,374.92,364.76,328.08,True,0.74,True,0.59,True,0.86,False,False,False,False,86,63.9,66.1,,390.64,383.77,6
TBOTEK,1610.9,1535.37,1455.74,1390.46,True,8.72,True,2.38,False,1.46,False,True,False,False,86,63.0,63.8,,1638.64,1593.8,6
BAJAJ-AUTO,11662.0,11163.25,10647.38,9758.61,True,1.64,True,0.68,False,1.04,False,True,True,True,82,67.1,73.2,,11741.73,11562.43,6
IDFCFIRSTB,84.62,82.99,79.5,75.38,True,4.38,True,0.45,True,0.73,False,True,False,False,81,62.3,67.1,,85.23,84.27,6
LALPATHLAB,1931.6,1816.29,1717.83,1562.2,True,1.2,True,0.8,False,0.99,False,True,True,True,79,75.0,72.7,,1949.85,1905.19,6
LODHA,1218.7,1194.11,1098.2,1050.28,True,9.07,True,0.42,True,0.71,False,True,False,False,78,57.9,62.6,,1226.22,1203.5,6
MRPL,167.01,166.49,163.28,160.06,True,21.22,False,0.33,True,0.61,True,True,False,False,77,52.0,52.4,,169.05,165.23,6
ETERNAL,315.0,299.62,282.88,272.04,True,14.51,True,0.59,True,0.69,True,False,True,False,75,67.0,65.7,,317.22,312.84,6
3MINDIA,36035.0,35236.67,34230.43,32800.92,True,3.87,True,0.93,False,1.01,False,True,True,True,74,61.4,59.2,,36306.27,35834.13,6
UNITDSPR,1512.4,1469.1,1404.16,1356.85,True,2.3,True,0.45,True,0.64,True,False,False,False,73,66.9,67.5,,1531.33,1510.89,6
BALRAMCHIN,633.45,610.8,580.94,529.84,True,4.82,True,2.1,False,1.48,False,True,True,True,71,60.4,72.2,,637.64,624.08,6
HOMEFIRST,1193.8,1192.99,1173.45,1153.07,True,12.77,True,0.5,True,0.59,True,True,False,False,47,50.9,54.1,,1197.4,1181.52,6
ATHERENERG,1481.5,1299.32,1174.65,884.14,True,1.76,True,2.02,False,1.42,False,False,False,False,99,76.9,80.9,⚠️ W RSI>75,1509.51,1444.55,5
HFCL,207.98,203.89,193.25,134.26,True,9.38,True,0.78,False,0.89,False,False,False,False,99,53.1,73.7,,211.73,200.8,5
LAURUSLABS,1844.3,1709.84,1562.83,1236.13,True,0.66,True,0.8,False,0.81,False,False,False,False,98,79.0,85.9,⚠️ W RSI>75,1857.86,1831.37,5
RRKABEL,2759.5,2546.25,2347.37,1839.73,True,1.97,True,0.73,False,0.73,False,False,False,False,98,71.7,77.4,⚠️ W RSI>75,2796.79,2733.86,5
REDINGTON,354.85,307.82,279.59,257.63,True,1.58,True,3.32,False,1.34,False,False,False,False,98,82.7,73.0,⚠️ D RSI>80,358.36,340.71,5
WELCORP,1839.8,1675.86,1544.0,1192.19,True,1.35,True,0.96,False,1.07,False,False,False,False,98,74.8,87.4,⚠️ W RSI>75,1866.86,1819.48,5
CHENNPETRO,1275.4,1193.47,1133.51,970.34,True,1.7,True,1.36,False,0.83,False,False,False,False,97,63.2,73.7,,1287.09,1219.08,5
NETWEB,4939.2,4534.65,4418.25,3770.02,True,5.75,True,0.95,False,1.12,False,False,False,False,97,65.2,63.7,,4972.97,4775.22,5
NEULANDLAB,22855.0,19601.42,18501.67,16090.5,True,2.74,True,6.87,False,1.74,False,False,False,False,97,78.0,76.2,⚠️ W RSI>75,23523.5,21579.4,5
SONACOMS,818.05,742.47,684.03,577.48,True,0.79,True,1.28,False,1.25,False,False,True,False,97,78.1,84.3,⚠️ W RSI>75,821.82,786.21,5
APARINDS,16631.0,14738.41,14246.22,11777.6,True,3.07,True,1.3,False,1.1,False,False,False,False,96,71.1,72.3,,16711.7,16083.9,5
BHARATFORG,2265.2,2178.21,2101.9,1797.96,True,0.21,True,0.75,False,1.03,False,False,False,False,95,68.6,71.6,,2272.27,2188.21,5
GRANULES,873.85,845.48,817.19,690.74,True,3.77,True,0.61,False,1.08,False,False,False,False,95,60.3,68.7,,883.88,838.56,5
MOTHERSON,168.5,150.36,145.01,128.41,True,0.77,True,2.15,False,1.65,False,False,False,False,95,76.6,74.9,,169.97,155.01,5
KALYANKJIL,606.3,564.79,495.24,452.91,True,6.57,True,1.05,False,1.02,False,False,False,False,94,65.0,71.1,,630.63,600.55,5
MINDACORP,721.65,698.97,668.54,598.62,True,1.94,True,0.61,False,1.07,False,False,False,False,94,62.3,71.0,,730.63,700.0,5
NATIONALUM,381.0,359.99,364.34,340.34,False,14.29,True,0.84,False,1.19,False,True,True,True,94,65.0,55.8,,383.23,376.77,5
SAILIFE,1365.2,1313.11,1248.84,1065.86,True,5.84,True,1.53,False,1.46,False,False,False,False,94,63.0,79.6,⚠️ W RSI>75,1399.7,1318.18,5
GABRIEL,1499.8,1425.82,1303.85,1101.99,True,6.26,True,1.04,False,1.08,False,False,False,False,93,60.8,75.5,⚠️ W RSI>75,1559.46,1483.02,5
M&MFIN,408.45,371.32,342.59,319.11,True,0.32,True,0.71,False,0.96,False,False,False,False,93,69.8,70.7,,410.11,386.46,5
SHRIRAMFIN,1115.0,1064.4,1029.4,938.56,True,3.35,True,1.17,False,1.04,False,False,False,False,93,62.9,64.4,,1135.13,1107.89,5
BELRISE,248.21,236.72,231.07,198.54,True,1.5,True,0.84,False,0.85,False,False,False,False,92,64.4,69.8,,250.25,243.76,5
SAREGAMA,519.2,513.29,481.44,428.41,True,9.63,True,1.63,False,1.49,False,False,False,False,92,54.3,72.0,,540.49,512.64,5
NYKAA,332.0,328.31,311.5,273.5,True,4.6,True,1.51,False,1.4,False,False,False,False,91,58.3,71.6,,336.19,328.32,5
IIFL,611.75,583.25,548.82,514.43,True,8.7,True,0.62,False,0.76,False,False,False,False,91,68.2,69.4,,620.62,603.1,5
TATATECH,872.8,757.79,728.1,673.47,True,0.82,True,3.88,False,1.25,False,False,False,False,91,76.1,70.9,,880.88,796.5,5
EXIDEIND,490.0,445.06,417.64,377.79,True,0.61,True,1.21,False,1.24,False,False,False,False,90,76.0,78.7,⚠️ W RSI>75,493.49,470.18,5
GLAND,2601.0,2502.55,2382.53,2058.08,True,1.26,True,0.8,False,0.94,False,False,True,False,90,63.1,76.3,⚠️ W RSI>75,2622.52,2567.43,5
J&KBANK,159.24,164.75,160.75,134.32,False,21.07,False,0.8,False,0.59,True,True,True,True,90,44.3,57.7,,161.56,158.14,5
NAVINFLUOR,8271.0,7748.43,7510.57,6606.23,True,5.75,True,7.38,False,1.69,False,False,True,False,90,61.7,60.7,,8658.65,8216.78,5
ASTERDM,869.7,819.76,793.39,708.63,True,0.65,True,2.01,False,1.52,False,False,False,False,89,71.7,69.9,,876.23,835.66,5
DATAPATTNS,4380.7,4411.75,4322.29,3664.67,False,11.41,True,0.75,False,0.8,False,True,True,True,89,49.2,58.4,,4448.44,4357.64,5
