symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
VIJAYA,1382.6,1349.24,1286.54,1120.99,True,3.17,True,0.52,True,0.92,False,True,True,True,91,57.7,70.4,,1392.39,1363.04,8
GABRIEL,1248.6,1220.38,1150.4,1038.02,True,9.88,True,0.56,True,0.93,False,True,True,True,85,58.3,62.5,,1264.26,1236.96,8
NEULANDLAB,18999.0,18499.62,17443.79,15411.1,True,5.43,True,0.66,False,1.2,False,True,True,True,93,64.8,72.5,,19065.05,18719.26,7
HSCL,671.4,661.04,633.52,542.79,True,6.49,True,0.35,True,0.61,True,False,False,False,91,54.5,62.2,,675.37,659.39,7
PAYTM,1381.4,1220.71,1162.78,1138.44,True,1.14,True,1.8,False,1.53,False,True,True,True,90,79.4,58.3,,1394.79,1362.64,7
CCL,1229.5,1181.54,1145.08,1040.58,True,1.02,True,0.5,True,1.03,False,True,True,True,83,68.0,61.7,,1241.24,1217.58,7
CEMPRO,1596.6,1395.41,1186.0,887.12,True,3.08,True,0.34,True,1.06,False,False,False,False,99,81.0,80.3,⚠️ D+W OB,1648.95,1556.14,6
HFCL,212.78,207.99,181.91,120.63,True,7.29,True,0.28,True,0.88,False,False,False,False,99,58.5,77.2,⚠️ W RSI>75,214.76,205.89,6
ACUTAAS,3459.7,3396.44,3149.95,2383.13,True,7.49,True,0.69,False,0.99,False,True,False,False,98,56.8,74.1,,3538.53,3446.55,6
LAURUSLABS,1560.7,1487.51,1395.49,1139.62,True,0.81,True,0.79,False,1.03,False,True,False,False,97,67.2,75.9,⚠️ W RSI>75,1575.07,1547.95,6
RRKABEL,2345.3,2288.61,2130.72,1703.51,True,7.99,True,0.55,True,1.03,False,False,True,False,97,57.7,67.6,,2385.08,2315.68,6
GRANULES,895.1,833.96,783.14,661.89,True,1.4,True,0.98,False,1.0,False,True,False,False,96,77.9,78.4,⚠️ W RSI>75,905.2,884.26,6
ANANDRATHI,2080.8,1998.26,1886.64,1634.6,True,4.38,True,0.95,False,1.0,False,True,False,False,95,66.1,78.0,⚠️ W RSI>75,2119.82,2069.53,6
CAPLIPOINT,2658.4,2513.74,2296.07,2026.7,True,1.14,True,0.54,True,1.05,False,False,False,False,95,67.3,79.6,⚠️ W RSI>75,2682.68,2594.4,6
HONASA,474.4,449.98,414.97,345.11,True,3.45,True,0.4,True,1.04,False,False,False,False,95,75.3,79.5,⚠️ W RSI>75,491.84,470.28,6
GLAND,2488.3,2404.9,2252.77,1958.29,True,3.31,True,0.77,False,1.11,False,True,False,False,93,63.7,72.5,,2517.11,2454.54,6
BHARATFORG,2119.7,2096.62,2012.1,1719.06,True,5.0,True,0.46,True,0.97,False,False,True,False,91,57.3,73.3,,2151.15,2096.0,6
NAVINFLUOR,7586.0,7525.2,7259.71,6353.89,True,2.87,True,0.47,True,1.1,False,False,False,False,90,54.2,72.9,,7737.23,7553.94,6
FEDERALBNK,327.5,324.71,312.25,276.49,True,2.67,True,0.34,True,1.25,False,False,False,False,89,58.4,69.4,,333.13,325.82,6
RBLBANK,377.95,368.07,355.75,317.93,True,1.09,True,1.13,False,1.17,False,True,False,False,87,58.1,63.6,,381.43,374.23,6
LALPATHLAB,1744.6,1667.58,1612.72,1516.0,True,3.01,True,0.38,True,1.07,False,True,False,False,80,67.0,60.1,,1753.75,1715.68,6
EXIDEIND,419.45,405.64,385.56,365.03,True,2.68,True,1.08,False,0.87,False,True,True,True,78,65.0,66.5,,424.42,417.38,6
SOLARINDS,18287.0,18064.96,17467.11,15574.99,True,3.61,True,1.02,False,1.1,False,True,True,True,76,54.1,57.9,,18336.32,17940.04,6
BOSCHLTD,41460.0,40785.34,39080.4,36831.17,True,2.6,True,0.63,False,0.86,False,True,True,True,71,62.2,64.5,,41901.86,41358.6,6
REDINGTON,282.7,269.09,252.05,247.29,True,8.11,True,0.49,True,0.98,False,True,True,True,69,66.9,58.2,,284.18,278.17,6
CPPLUS,3622.8,3536.05,3184.34,2218.98,True,4.34,True,0.51,True,0.97,False,True,True,True,0,61.0,81.0,⚠️ W RSI>75,3702.6,3607.99,6
ATHERENERG,1201.8,1116.65,1027.58,800.84,True,4.13,True,1.15,False,1.31,False,False,False,False,99,68.7,77.2,⚠️ W RSI>75,1209.11,1156.84,5
AEGISLOG,1222.5,1176.7,1000.07,807.99,True,13.66,True,0.74,False,1.4,False,False,False,False,98,59.8,76.3,⚠️ W RSI>75,1304.6,1163.24,5
KIRLOSENG,2362.3,2286.87,2061.4,1543.43,True,13.15,True,0.91,False,0.82,False,False,False,False,98,58.8,73.2,,2437.44,2343.25,5
SYRMA,1421.8,1372.6,1248.07,964.15,True,6.32,True,0.91,False,1.0,False,False,False,False,98,62.2,73.7,,1447.75,1403.4,5
CARTRADE,2895.0,2660.51,2377.34,2200.74,True,12.02,True,1.08,False,1.14,False,False,False,False,97,72.1,65.4,,3084.58,2790.21,5
WELCORP,1683.4,1514.33,1392.48,1088.39,True,0.67,True,2.3,False,1.12,False,False,False,False,97,74.8,82.2,⚠️ W RSI>75,1696.49,1633.36,5
ADANIENSOL,1690.3,1580.26,1483.57,1199.75,True,1.38,True,0.72,False,1.25,False,False,False,False,96,70.3,75.0,,1715.61,1634.96,5
ADANIGREEN,1604.5,1521.66,1437.67,1189.02,True,1.65,True,0.79,False,1.32,False,False,False,False,96,65.5,69.8,,1633.13,1531.47,5
OFSS,11646.0,10865.9,10059.25,8650.76,True,2.61,True,1.15,False,1.11,False,False,True,False,96,72.7,71.0,,11897.89,11595.39,5
J&KBANK,177.4,166.19,153.92,127.4,True,12.07,True,2.43,False,1.85,False,False,False,False,95,63.2,76.9,⚠️ W RSI>75,182.38,176.55,5
ADANIPOWER,226.17,222.73,218.86,180.13,True,11.03,True,0.84,False,1.16,False,False,False,False,94,53.7,59.8,,229.17,216.08,5
CGCL,257.32,233.28,215.06,191.26,True,2.73,True,2.42,False,1.48,False,False,True,False,94,81.3,72.7,⚠️ D RSI>80,260.26,251.26,5
SAILIFE,1268.8,1229.52,1177.4,1017.57,True,1.8,True,0.73,False,1.2,False,False,False,False,94,62.8,67.3,,1293.29,1258.34,5
ACMESOLAR,384.6,366.54,340.02,287.79,True,3.52,True,0.82,False,1.01,False,False,False,False,93,65.5,69.9,,399.05,372.68,5
BHEL,403.9,396.13,384.65,321.69,True,4.94,True,0.76,False,1.04,False,False,True,False,93,54.6,59.2,,409.41,400.6,5
RADICO,4051.2,3914.93,3675.89,3210.88,True,2.66,True,0.76,False,0.88,False,False,False,False,93,69.0,76.5,⚠️ W RSI>75,4127.62,4025.27,5
ADANIENT,3188.9,3081.77,2894.67,2527.42,True,1.73,True,0.85,False,1.04,False,False,False,False,92,62.5,68.5,,3222.92,3141.86,5
JBCHEPHARM,2487.6,2347.82,2244.55,2012.44,True,0.14,True,2.16,False,1.15,False,False,False,False,92,83.0,77.0,⚠️ D+W OB,2493.49,2446.65,5
NUVAMA,1933.9,1819.23,1669.69,1462.74,True,3.0,True,0.72,False,1.3,False,False,False,False,92,67.2,75.6,⚠️ W RSI>75,1966.96,1883.31,5
NYKAA,324.45,309.14,291.05,262.57,True,2.32,True,1.16,False,0.99,False,False,False,False,90,70.6,69.7,,329.93,322.08,5
GODREJIND,1336.7,1218.03,1136.54,1069.61,True,7.37,True,1.97,False,1.7,False,False,False,False,90,69.9,65.3,,1376.88,1331.17,5
NAM-INDIA,1192.7,1175.11,1116.77,965.19,True,3.31,True,0.65,False,1.3,False,False,False,False,90,57.0,67.0,,1216.21,1182.12,5
TORNTPHARM,4973.5,4728.44,4553.88,4132.37,True,0.73,True,1.79,False,1.16,False,False,False,False,89,80.0,71.8,,5015.01,4911.48,5
AIAENG,4760.0,4718.27,4499.03,3981.88,True,8.11,True,0.98,False,0.72,False,False,False,False,88,55.7,64.3,,4784.78,4669.33,5
ABCAPITAL,399.25,391.21,374.23,338.75,True,2.79,True,0.82,False,1.4,False,False,False,False,87,57.0,62.2,,405.0,391.71,5
LTF,315.3,309.75,295.53,272.91,True,6.88,True,2.25,False,1.53,False,False,False,False,87,56.9,62.1,,323.27,309.09,5
POLYCAB,9532.5,9486.96,9262.13,8161.22,True,5.86,True,1.11,False,1.08,False,False,False,False,87,51.8,60.4,,9573.56,9218.77,5
AEGISVOPAK,280.64,257.32,232.99,225.76,True,9.9,True,2.36,False,1.56,False,False,True,False,86,63.1,67.9,,305.0,276.97,5
PHOENIXLTD,2132.5,2003.15,1892.29,1754.55,True,1.72,True,1.72,False,1.19,False,False,False,False,86,70.5,71.8,,2171.97,2115.88,5
SONACOMS,666.8,643.55,614.36,548.94,True,2.26,True,0.77,False,1.1,False,False,False,False,86,69.0,72.0,,674.67,659.44,5
ASTERDM,813.2,789.73,764.25,685.48,True,2.79,True,0.71,False,0.92,False,False,True,False,85,62.1,63.6,,822.67,807.74,5
