symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
CEMPRO,1490.0,1305.95,1118.31,855.89,True,6.72,True,0.58,True,1.45,False,False,True,False,99,76.2,80.4,⚠️ W RSI>75,1561.46,1451.85,6
HFCL,214.74,204.68,176.21,117.01,True,6.43,True,0.44,True,1.17,False,False,False,False,99,61.1,76.7,⚠️ W RSI>75,224.02,214.53,6
KIRLOSENG,2277.0,2218.57,1997.86,1508.35,True,16.29,False,1.35,False,0.96,False,True,True,True,98,59.1,71.2,,2330.33,2247.95,6
HONASA,467.6,438.79,404.96,337.05,True,1.97,True,0.39,True,0.81,False,False,False,False,95,73.1,80.4,⚠️ W RSI>75,475.78,461.79,6
CAPLIPOINT,2528.4,2460.55,2239.75,2001.43,True,5.48,True,0.58,True,1.11,False,False,False,False,94,61.5,78.3,⚠️ W RSI>75,2625.62,2499.1,6
ACMESOLAR,365.25,361.04,333.55,284.12,True,8.26,True,0.56,True,1.07,False,False,False,False,93,56.7,69.5,,374.47,361.14,6
BHARATFORG,2100.5,2081.1,1991.95,1702.77,True,5.86,True,0.52,True,0.87,False,False,False,False,92,57.2,74.3,,2152.05,2080.92,6
NAM-INDIA,1168.0,1158.53,1100.71,956.61,True,5.31,True,0.59,True,1.08,False,False,False,False,92,55.4,66.1,,1220.02,1157.64,6
FEDERALBNK,326.55,322.39,309.27,274.32,True,2.32,True,0.39,True,1.17,False,False,False,False,88,61.0,69.1,,331.23,322.68,6
MINDACORP,683.35,671.16,628.09,573.67,True,4.25,True,0.56,True,0.98,False,False,False,False,87,62.1,69.3,,705.4,678.82,6
STARHEALTH,584.2,569.77,543.57,495.2,True,3.57,True,0.47,True,0.77,False,False,False,False,87,65.3,74.3,,599.6,580.42,6
ATHERENERG,1200.0,1072.4,996.41,783.92,True,1.15,True,0.88,False,1.05,False,False,False,False,99,74.6,77.3,⚠️ W RSI>75,1215.21,1132.17,5
ACUTAAS,3454.5,3367.68,3097.17,2339.29,True,7.63,True,0.93,False,1.24,False,False,False,False,98,58.0,74.2,,3578.98,3389.01,5
AEGISLOG,1245.4,1144.65,960.99,799.84,True,12.51,True,1.36,False,1.5,False,False,False,False,98,66.0,80.1,⚠️ W RSI>75,1366.16,1244.15,5
SYRMA,1366.2,1341.58,1215.42,942.92,True,9.98,True,0.66,False,0.96,False,False,False,False,98,58.9,74.3,,1399.9,1330.87,5
ADANIENSOL,1655.5,1543.75,1454.18,1181.87,True,3.3,True,1.12,False,1.36,False,False,False,False,97,72.1,74.9,,1713.71,1630.87,5
CARTRADE,2775.9,2584.1,2301.88,2175.8,True,15.64,False,0.39,True,0.92,False,False,False,False,97,69.7,66.3,,2888.89,2747.85,5
SCHNEIDER,1496.6,1379.29,1276.83,1017.92,True,3.32,True,1.27,False,0.89,False,False,False,False,97,63.9,71.5,,1549.55,1465.53,5
WELCORP,1529.2,1456.07,1351.14,1066.99,True,2.35,True,2.32,False,1.45,False,False,False,False,97,63.1,80.9,⚠️ W RSI>75,1563.76,1518.58,5
ABDL,674.8,642.33,596.81,536.42,True,5.18,True,2.66,False,1.31,False,False,False,False,96,63.7,68.2,,698.2,667.33,5
BELRISE,225.74,232.76,224.72,189.31,False,10.42,True,2.12,False,1.28,False,True,True,True,96,45.0,64.5,,233.23,224.63,5
LAURUSLABS,1469.2,1460.02,1370.06,1123.93,True,5.52,True,1.08,False,1.12,False,False,False,False,96,55.5,75.3,⚠️ W RSI>75,1496.6,1446.75,5
RADICO,4077.6,3841.99,3608.52,3184.82,True,2.02,True,1.39,False,1.3,False,False,False,False,96,73.4,72.6,,4144.14,4053.94,5
GRANULES,859.55,805.52,764.35,652.03,True,2.22,True,1.16,False,0.99,False,False,True,False,95,73.3,74.3,,873.37,850.35,5
OFSS,11002.0,10522.29,9800.16,8541.79,True,3.15,True,0.62,False,0.95,False,False,False,False,95,66.4,70.7,,11203.19,10921.07,5
ANANDRATHI,2059.8,1943.64,1847.91,1612.62,True,2.84,True,0.72,False,1.23,False,False,True,False,94,72.9,78.1,⚠️ W RSI>75,2093.69,2032.37,5
J&KBANK,165.96,159.17,149.34,125.41,True,2.95,True,1.31,False,1.2,False,False,False,False,94,66.7,75.8,⚠️ W RSI>75,171.17,163.33,5
GLAND,2495.8,2370.33,2214.24,1934.71,True,3.02,True,1.07,False,1.0,False,False,False,False,93,66.5,71.7,,2576.07,2447.45,5
NEULANDLAB,18889.0,18135.05,17129.32,15247.51,True,4.34,True,0.83,False,0.98,False,False,False,False,93,72.7,72.3,,19284.26,18632.35,5
ADANIENT,3046.9,3045.26,2849.75,2501.42,True,6.1,True,1.01,False,1.18,False,False,False,False,92,53.5,68.9,,3150.05,3024.97,5
NYKAA,317.95,300.47,284.86,259.74,True,2.32,True,1.17,False,1.13,False,False,False,False,92,73.0,70.6,,325.83,311.84,5
GABRIEL,1231.0,1203.54,1132.31,1027.88,True,11.15,True,0.71,False,1.01,False,False,False,False,92,57.5,62.7,,1292.19,1213.79,5
AEGISVOPAK,276.61,243.36,223.99,223.48,True,8.41,True,7.76,False,1.64,False,False,True,False,91,69.8,67.9,,294.44,269.53,5
CGCL,237.06,222.61,208.17,189.01,True,4.0,True,2.3,False,1.21,False,False,False,False,91,72.5,72.9,,242.73,233.87,5
LTF,314.3,304.5,291.19,271.02,True,7.18,True,1.18,False,1.2,False,False,False,False,90,59.4,61.8,,331.13,312.74,5
JBCHEPHARM,2435.8,2293.15,2207.57,1992.1,True,1.29,True,1.64,False,0.96,False,False,False,False,89,81.4,77.7,⚠️ D+W OB,2470.17,2409.69,5
NUVAMA,1848.1,1759.45,1622.58,1442.42,True,5.47,True,1.15,False,1.22,False,False,False,False,89,66.1,75.1,⚠️ W RSI>75,1918.92,1833.16,5
SONACOMS,662.05,630.96,604.85,543.48,True,2.75,True,1.61,False,1.5,False,False,False,False,88,70.7,72.5,,681.48,657.24,5
TORNTPHARM,4866.4,4626.97,4488.18,4106.46,True,1.65,True,1.07,False,0.9,False,False,False,False,87,75.6,71.2,,4952.95,4820.27,5
WELSPUNLIV,162.93,160.47,149.6,136.54,True,6.04,True,0.79,False,0.94,False,False,False,False,86,56.7,65.0,,170.59,161.64,5
ABCAPITAL,385.75,385.35,369.22,335.73,True,6.07,True,1.03,False,1.06,False,False,False,False,85,52.9,62.4,,403.9,383.62,5
CUB,220.08,208.4,200.92,191.18,True,9.46,True,1.0,False,1.1,False,False,False,False,85,64.5,63.3,,228.79,217.31,5
EXIDEIND,421.35,397.15,379.06,362.99,True,1.77,True,2.08,False,1.4,False,False,False,False,85,69.2,66.0,,425.68,411.74,5
GODREJIND,1216.4,1156.67,1101.14,1057.92,True,8.2,True,0.59,True,0.81,False,False,True,False,84,71.7,65.1,,1230.63,1198.3,5
