symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
WELCORP,2599.5,2316.47,1988.66,1402.61,True,2.86,True,1.13,False,1.0,False,True,True,True,99,77.9,90.5,⚠️ W RSI>75,2644.34,2572.92,7
IDEA,15.42,14.47,13.97,12.13,True,1.66,True,1.29,False,1.01,False,True,True,True,95,65.2,60.3,,15.6,15.29,7
PTCIL,23730.0,21435.86,19792.52,17831.55,True,1.64,True,1.92,False,1.0,False,True,True,True,93,75.8,79.8,⚠️ W RSI>75,24109.08,23601.38,7
NAM-INDIA,1188.9,1188.8,1172.47,1044.24,True,6.35,True,1.42,False,0.92,False,True,True,True,85,50.4,57.1,,1196.2,1178.82,7
HFCL,250.76,232.08,216.74,153.52,True,2.31,True,0.43,True,1.19,False,False,False,False,99,62.4,67.8,,255.42,245.26,6
REDINGTON,373.55,354.71,324.6,277.37,True,2.11,True,0.94,False,0.96,False,True,False,False,98,64.3,69.8,,380.28,369.23,6
KALYANKJIL,612.6,597.2,556.24,484.94,True,5.6,True,0.48,True,1.48,False,False,False,False,97,57.4,64.2,,619.52,586.51,6
NEULANDLAB,23995.0,22740.26,21150.27,17533.21,True,0.44,True,0.57,True,1.07,False,False,False,False,96,67.1,76.4,⚠️ W RSI>75,24124.1,22986.99,6
BHEL,422.15,423.03,412.97,352.64,False,5.45,True,0.42,True,0.88,False,True,True,True,94,50.8,64.5,,427.13,419.43,6
CRAFTSMAN,11406.0,10825.29,10208.3,8683.15,True,1.18,True,0.95,False,1.09,False,True,False,False,91,68.4,73.7,,11553.54,11285.7,6
COFORGE,1950.0,1893.86,1750.82,1582.94,True,3.52,True,0.5,True,0.98,False,False,False,False,90,64.0,70.0,,1956.35,1912.19,6
ANANDRATHI,2229.5,2178.46,2098.21,1815.1,True,0.56,True,0.44,True,0.85,False,False,False,False,89,68.9,78.2,⚠️ W RSI>75,2237.23,2200.7,6
CARTRADE,3176.7,2968.72,2804.3,2437.4,True,3.46,True,0.4,True,1.13,False,False,False,False,89,66.9,63.3,,3228.93,3106.89,6
HONASA,476.05,473.07,458.65,382.26,True,6.04,True,0.49,True,0.92,False,False,False,False,88,52.9,71.6,,483.48,468.48,6
IPCALAB,1967.2,1914.07,1827.3,1631.48,True,1.71,True,0.36,True,0.72,False,False,False,False,85,64.9,69.7,,1998.9,1957.94,6
TBOTEK,1694.5,1680.37,1593.41,1454.91,True,3.98,True,0.43,True,0.91,False,True,False,False,81,55.0,65.4,,1704.2,1667.93,6
ETERNAL,321.6,321.58,306.14,282.95,True,12.72,True,0.46,True,0.86,False,True,False,False,75,55.2,68.7,,324.62,320.18,6
ATHERENERG,1578.0,1544.57,1397.66,1015.4,True,9.52,True,0.87,False,1.09,False,False,True,False,99,57.7,78.4,⚠️ W RSI>75,1615.01,1566.43,5
CPPLUS,3828.8,3628.84,3509.38,2666.0,True,6.48,True,0.82,False,0.84,False,False,False,False,98,62.2,67.3,,3853.85,3686.31,5
LAURUSLABS,1946.9,1850.83,1732.73,1362.38,True,0.26,True,0.71,False,1.26,False,False,False,False,98,66.5,80.7,⚠️ W RSI>75,1953.95,1860.84,5
PFOCUS,313.15,292.07,281.65,255.85,True,14.67,True,1.63,False,1.15,False,False,False,False,98,62.8,55.1,,325.22,308.99,5
APARINDS,17635.0,16982.14,15931.98,12866.55,True,4.49,True,0.74,False,0.96,False,False,True,False,97,59.3,63.6,,17829.81,17354.63,5
CHENNPETRO,1457.8,1381.4,1286.72,1060.61,True,2.14,True,0.61,False,0.84,False,False,False,False,97,63.9,68.1,,1476.48,1413.68,5
SYRMA,1639.2,1467.65,1405.48,1123.2,True,1.25,True,0.78,False,1.3,False,False,False,False,97,72.7,68.7,,1661.66,1590.61,5
WELSPUNLIV,207.87,191.34,176.35,150.67,True,3.76,True,0.8,False,0.92,False,False,False,False,97,75.3,75.7,⚠️ W RSI>75,213.01,204.32,5
MCX,3342.0,3176.59,3017.52,2657.8,True,3.73,True,0.8,False,1.04,False,False,True,False,96,63.4,62.4,,3369.77,3276.62,5
SAILIFE,1647.1,1499.84,1396.59,1153.16,True,0.61,True,2.72,False,1.36,False,False,False,False,96,75.8,80.9,⚠️ W RSI>75,1658.86,1572.43,5
HINDCOPPER,532.85,530.54,525.0,490.71,True,29.78,False,0.99,False,0.61,True,False,False,False,95,51.3,50.4,,537.54,519.48,5
IFCI,92.61,88.26,81.44,69.09,True,13.85,True,10.23,False,1.88,False,False,False,False,95,58.6,70.0,,103.69,91.68,5
PAYTM,1670.0,1610.14,1476.55,1268.33,True,3.6,True,0.73,False,1.05,False,False,True,False,95,61.6,67.6,,1678.38,1634.36,5
SONACOMS,804.0,796.61,754.98,623.32,True,4.74,True,0.65,False,1.22,False,False,False,False,95,55.6,70.8,,806.71,777.42,5
DIVISLAB,9575.0,8917.62,8238.4,7105.85,True,0.14,True,1.05,False,1.07,False,False,False,False,94,73.6,84.8,⚠️ W RSI>75,9597.59,9243.75,5
JINDALSAW,307.6,294.89,277.43,236.85,True,3.72,True,0.84,False,0.84,False,False,False,False,94,65.7,70.8,,311.26,297.05,5
JYOTICNC,1037.2,965.42,886.52,841.79,True,2.04,True,1.27,False,1.19,False,False,False,False,94,66.0,59.9,,1059.91,1011.44,5
ACUTAAS,3182.1,3224.03,3232.97,2675.36,False,14.92,True,0.57,True,0.65,True,False,False,False,93,46.5,56.5,,3238.74,3158.34,5
DATAPATTNS,4932.3,4610.7,4494.28,3830.07,True,1.35,True,0.98,False,0.94,False,False,False,False,93,62.9,57.7,,4954.95,4612.48,5
NAVINFLUOR,8731.0,8421.87,8057.77,6975.26,True,0.51,True,0.65,False,1.1,False,False,False,False,92,63.9,72.3,,8762.75,8496.99,5
SOLARINDS,22455.0,20479.67,19426.24,16821.35,True,0.18,True,1.75,False,1.17,False,False,False,False,92,77.4,69.0,,22517.5,21903.08,5
CGCL,270.75,252.36,239.39,209.3,True,5.81,True,1.2,False,1.15,False,False,False,False,91,63.7,66.1,,279.08,267.88,5
FINCABLES,1302.3,1226.63,1157.78,1003.73,True,4.54,True,1.28,False,1.1,False,False,False,False,91,60.8,58.6,,1313.11,1228.97,5
GLAND,2959.3,2850.65,2669.62,2222.83,True,2.72,True,1.61,False,1.23,False,False,False,False,91,67.9,72.3,,2982.88,2899.0,5
AEGISVOPAK,290.65,278.13,269.91,246.5,True,6.69,True,0.73,False,1.21,False,False,False,False,90,61.1,59.6,,292.09,283.72,5
GRANULES,895.35,850.95,836.67,722.31,True,1.4,True,1.72,False,1.3,False,False,False,False,90,65.6,64.1,,900.75,864.14,5
OFSS,11780.0,11878.89,11427.03,9662.88,False,6.06,True,0.52,True,0.86,False,True,False,False,90,49.7,71.4,,11826.81,11624.36,5
ACMESOLAR,412.6,396.26,378.84,321.64,True,4.16,True,1.21,False,1.09,False,False,False,False,89,62.8,69.1,,418.07,404.05,5
CUB,232.97,226.32,218.56,201.36,True,6.38,True,0.94,False,1.17,False,False,False,False,89,57.8,62.3,,239.41,231.93,5
MOTHERSON,163.85,163.73,157.44,136.01,True,5.44,True,0.62,False,1.06,False,False,True,False,89,52.8,67.6,,164.66,161.01,5
AUROPHARMA,1692.0,1641.8,1597.87,1420.79,True,1.46,True,0.72,False,1.26,False,False,False,False,88,60.4,65.9,,1700.5,1653.34,5
PNBHOUSING,1167.1,1151.83,1115.08,1011.69,True,3.66,True,0.95,False,1.03,False,False,True,False,88,58.3,60.6,,1186.18,1165.33,5
NYKAA,341.0,334.49,324.25,285.75,True,2.45,True,0.67,False,1.12,False,False,False,False,87,57.0,69.4,,341.89,332.77,5
RBLBANK,418.5,391.18,379.28,340.75,True,0.14,True,1.53,False,1.54,False,False,False,False,87,74.9,65.1,,419.52,412.59,5
BALRAMCHIN,711.45,675.41,637.14,559.38,True,8.9,True,1.52,False,0.88,False,False,False,False,86,59.1,68.7,,742.74,702.1,5
FLUOROCHEM,4676.6,4636.43,4430.48,3896.83,True,5.69,True,0.92,False,1.15,False,False,True,False,86,54.7,72.9,,4689.58,4481.51,5
NUVAMA,1836.4,1782.78,1754.26,1572.73,True,11.11,True,1.18,False,1.36,False,False,False,False,86,58.7,63.5,,1851.75,1784.91,5
WOCKPHARMA,2224.0,1977.95,1919.88,1704.24,True,8.19,True,3.34,False,1.46,False,False,False,False,86,71.0,56.5,,2242.24,2163.83,5
APLAPOLLO,2185.0,2137.87,2027.93,1918.91,True,4.69,True,1.51,False,1.34,False,True,False,False,83,60.2,65.0,,2207.0,2162.84,5
VIJAYA,1503.0,1475.4,1418.59,1227.49,True,4.45,True,0.34,True,0.87,False,False,False,False,82,58.7,71.2,,1521.52,1484.61,5
RKFORGE,701.3,717.3,678.05,604.4,False,9.25,True,0.43,True,1.11,False,True,True,True,79,47.6,68.8,,710.51,694.4,5
GLAXO,2928.2,2895.52,2717.39,2546.49,True,6.17,True,0.48,True,0.83,False,False,False,False,77,57.6,67.0,,3004.3,2918.28,5
TORNTPHARM,4960.0,4945.28,4872.49,4421.79,True,5.52,True,0.47,True,1.02,False,False,False,False,77,51.6,65.8,,4988.48,4882.11,5
SAIL,186.1,186.01,179.83,167.12,True,11.25,True,1.11,False,0.95,False,True,False,False,76,52.8,62.9,,190.99,185.86,5
ACE,1121.2,1119.16,1074.01,995.21,True,6.08,True,0.56,True,1.19,False,False,False,False,73,52.2,57.4,,1149.15,1103.9,5
SHYAMMETL,1081.9,1047.42,1016.21,937.08,True,2.62,True,0.51,True,0.94,False,False,False,False,70,63.9,68.1,,1100.1,1075.62,5
GRASIM,3306.8,3284.53,3216.69,3001.0,True,3.06,True,1.51,False,0.9,False,True,True,True,65,54.8,66.9,,3321.52,3273.72,5
LGEINDIA,1672.2,1647.67,1610.75,1579.16,True,4.72,True,0.57,True,0.68,True,False,False,False,0,56.6,55.4,,1681.68,1638.06,5
