symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
EMCURE,1675.7,1651.56,1598.42,1449.48,True,8.43,True,0.59,True,0.6,True,True,True,True,86,54.4,65.0,,1684.58,1664.33,9
BHARATFORG,1948.9,1898.22,1818.47,1553.61,True,4.65,True,1.11,False,1.07,False,True,True,True,91,59.5,73.2,,1978.68,1936.86,7
ATHERENERG,940.3,910.08,844.17,673.04,True,4.96,True,1.47,False,1.06,False,True,False,False,99,58.9,72.0,,959.91,935.11,6
NATIONALUM,416.45,408.72,396.7,315.81,True,5.98,True,0.57,True,0.88,False,False,False,False,97,54.7,63.4,,421.12,410.29,6
APARINDS,12735.0,12167.1,11238.39,9415.69,True,2.02,True,0.5,True,0.8,False,False,False,False,96,63.4,69.8,,12811.8,12337.65,6
LLOYDSME,1759.0,1692.17,1540.13,1371.36,True,4.71,True,0.78,False,1.17,False,True,False,False,92,67.5,69.5,,1791.79,1745.95,6
CHENNPETRO,1029.5,1048.58,1010.6,884.0,False,11.23,True,0.35,True,0.83,False,True,True,True,91,48.2,56.8,,1044.24,1016.48,6
GRANULES,735.3,707.28,662.94,588.01,True,3.43,True,0.78,False,0.96,False,True,False,False,91,68.5,76.1,⚠️ W RSI>75,745.54,729.32,6
HSCL,617.05,583.2,532.61,483.37,True,5.71,True,2.21,False,1.08,False,True,False,False,90,67.8,75.8,⚠️ W RSI>75,633.13,610.49,6
ABCAPITAL,349.65,347.4,340.52,316.27,True,7.0,True,0.42,True,1.02,False,False,False,False,87,53.0,56.4,,354.2,344.75,6
J&KBANK,132.05,131.69,125.02,111.75,True,8.93,True,0.48,True,1.07,False,False,True,False,87,52.5,62.6,,134.67,129.97,6
ZYDUSWELL,507.6,501.11,475.95,438.37,True,8.11,True,0.25,True,1.25,False,False,False,False,87,56.7,65.8,,524.12,501.7,6
DELHIVERY,470.3,464.95,451.15,421.2,True,4.02,True,0.97,False,0.97,False,True,False,False,86,56.1,58.9,,472.97,464.29,6
HFCL,151.59,125.07,102.18,82.08,True,2.39,True,2.12,False,1.38,False,False,False,False,99,83.3,88.3,⚠️ D+W OB,155.46,141.86,5
SCHNEIDER,1315.0,1219.72,1077.17,880.96,True,4.01,True,0.8,False,1.01,False,False,False,False,99,66.1,75.9,⚠️ W RSI>75,1321.32,1268.73,5
ADANIPOWER,224.49,212.91,190.33,154.6,True,4.23,True,0.89,False,1.2,False,False,False,False,98,65.2,78.7,⚠️ W RSI>75,225.93,215.65,5
MCX,3339.1,2988.43,2770.8,2225.19,True,0.74,True,1.39,False,1.5,False,False,False,False,98,79.8,78.9,⚠️ W RSI>75,3367.36,3206.79,5
WELCORP,1367.5,1229.9,1075.31,911.66,True,0.17,True,0.9,False,0.98,False,False,False,False,98,84.8,83.7,⚠️ D+W OB,1371.17,1336.66,5
POWERINDIA,32290.0,31870.77,28852.42,22658.52,True,7.99,True,0.94,False,1.23,False,False,False,False,97,57.5,69.2,,32427.39,31343.62,5
LAURUSLABS,1315.5,1181.34,1113.99,982.71,True,0.65,True,1.35,False,1.22,False,False,False,False,97,80.6,73.8,⚠️ D RSI>80,1325.42,1281.82,5
ANANDRATHI,3575.2,3548.88,3398.51,2990.66,True,4.28,True,1.21,False,0.87,False,False,False,False,96,59.3,66.9,,3587.58,3511.48,5
BHEL,413.15,365.74,323.69,276.2,True,1.14,True,1.16,False,0.96,False,False,False,False,96,78.8,79.2,⚠️ W RSI>75,418.32,401.65,5
DATAPATTNS,4010.5,3965.03,3620.67,2997.71,True,6.8,True,0.61,False,0.92,False,False,False,False,95,55.8,65.8,,4254.25,3948.05,5
SCI,326.9,308.57,280.88,239.43,True,11.35,True,2.26,False,1.46,False,False,False,False,95,64.1,71.0,,338.84,320.68,5
SYRMA,1028.7,1008.14,925.8,793.77,True,13.41,True,2.91,False,1.59,False,False,False,False,95,58.4,63.7,,1047.05,986.06,5
THERMAX,4597.7,4200.17,3809.28,3390.33,True,5.78,True,5.2,False,1.64,False,False,True,False,95,70.3,77.7,⚠️ W RSI>75,4624.52,4487.41,5
ADANIGREEN,1414.9,1266.81,1132.95,1021.06,True,0.65,True,0.99,False,1.27,False,False,False,False,94,74.4,74.0,,1425.52,1375.42,5
BSE,4037.6,3690.63,3368.53,2818.66,True,0.67,True,1.31,False,1.3,False,False,False,False,94,76.8,76.5,⚠️ W RSI>75,4069.06,3913.28,5
CUMMINSIND,5367.0,5207.85,4984.4,4362.88,True,1.89,True,0.6,False,1.14,False,False,False,False,94,61.7,72.5,,5388.38,5223.77,5
NLCINDIA,370.9,316.7,294.53,264.28,True,4.36,True,4.77,False,1.71,False,False,False,False,94,76.0,84.2,⚠️ W RSI>75,388.19,347.65,5
ABSLAMC,1068.2,1041.86,991.47,866.54,True,4.92,True,0.88,False,0.87,False,False,True,False,93,57.9,67.9,,1072.87,1025.57,5
NATCOPHARM,1204.4,1130.88,1062.67,943.81,True,1.83,True,0.68,False,1.47,False,False,False,False,93,70.5,71.4,,1210.21,1153.35,5
RRKABEL,2037.3,1736.26,1580.07,1403.29,True,0.57,True,1.63,False,1.04,False,False,False,False,93,82.7,72.4,⚠️ D RSI>80,2051.05,1917.08,5
SAIL,199.08,182.67,171.61,149.42,True,5.06,True,2.33,False,1.75,False,False,False,False,93,69.5,76.2,⚠️ W RSI>75,209.91,198.35,5
ENGINERSIN,254.05,244.91,228.01,205.26,True,4.85,True,0.91,False,1.2,False,False,False,False,92,59.7,65.3,,257.56,241.36,5
IDEA,12.97,10.97,10.37,9.63,True,0.92,True,1.53,False,1.62,False,False,False,False,92,81.9,68.4,⚠️ D RSI>80,13.1,12.62,5
GRAPHITE,759.6,718.27,687.25,617.11,True,1.04,True,1.12,False,1.19,False,False,False,False,91,63.7,64.4,,768.37,734.26,5
NAM-INDIA,1092.3,1032.31,973.7,875.31,True,2.29,True,1.08,False,0.88,False,False,False,False,91,62.1,66.6,,1096.6,1059.04,5
CRAFTSMAN,8567.0,8071.41,7711.06,7061.33,True,12.03,True,9.42,False,1.65,False,False,True,False,90,66.6,67.8,,8769.76,8504.99,5
GLENMARK,2340.6,2316.88,2237.09,2025.98,True,5.39,True,1.34,False,1.15,False,False,False,False,90,55.4,66.8,,2352.75,2290.31,5
NAVA,703.6,679.13,637.33,588.02,True,4.84,True,0.72,False,0.9,False,False,False,False,90,61.6,65.4,,715.71,693.11,5
ADANIENSOL,1319.1,1310.19,1198.37,1021.24,True,9.88,True,1.55,False,1.07,False,False,False,False,89,55.5,71.3,,1343.34,1293.7,5
ASTERDM,746.6,717.53,685.96,630.41,True,3.04,True,1.14,False,0.99,False,False,True,False,89,65.1,70.0,,751.25,730.37,5
HINDALCO,1103.3,1039.75,996.81,879.89,True,0.15,True,0.68,False,1.24,False,False,False,False,89,68.1,69.5,,1106.1,1079.82,5
SAILIFE,1112.5,1064.5,1018.63,920.49,True,2.36,True,1.1,False,1.29,False,False,False,False,89,64.7,68.2,,1140.04,1098.9,5
MAHABANK,78.5,78.46,73.78,63.67,True,8.61,True,0.66,False,1.13,False,False,False,False,88,53.0,62.3,,80.78,77.22,5
POLYCAB,9217.5,8481.47,8056.57,7406.15,True,0.23,True,0.81,False,0.98,False,False,False,False,88,73.4,68.1,,9248.24,8916.57,5
RBLBANK,337.2,328.78,320.13,293.65,True,3.63,True,0.76,False,1.01,False,False,False,False,88,56.9,60.7,,338.79,322.28,5
HINDZINC,669.25,615.26,589.86,539.65,True,7.03,True,1.21,False,1.08,False,False,False,False,87,74.4,65.2,,678.93,663.34,5
USHAMART,476.25,458.44,441.96,417.63,True,4.19,True,1.49,False,1.22,False,False,False,False,86,60.9,62.9,,489.89,473.88,5
FINCABLES,1074.3,1023.4,944.22,864.54,True,8.4,True,1.2,False,1.3,False,False,False,False,85,64.4,65.8,,1092.34,1058.29,5
IFCI,65.1,60.98,58.76,55.7,True,12.62,True,2.0,False,1.28,False,False,True,False,85,63.7,60.1,,65.73,62.74,5
KEI,5144.7,4922.19,4714.79,4263.34,True,2.99,True,0.79,False,1.04,False,False,False,False,85,62.7,64.7,,5185.18,4866.13,5
RADICO,3461.0,3314.72,3110.52,2929.93,True,3.64,True,1.03,False,0.84,False,False,False,False,85,66.3,67.7,,3536.43,3417.18,5
