symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
CUMMINSIND,5621.5,5586.79,5344.79,4598.18,True,7.84,True,0.53,True,0.89,False,True,True,True,91,54.4,74.6,,5669.16,5564.43,8
ADANIENSOL,1489.6,1476.19,1361.02,1115.13,True,7.75,True,0.86,False,0.99,False,True,True,True,96,55.2,73.9,,1510.51,1475.52,7
ZYDUSWELL,506.0,501.11,489.47,450.9,True,8.4,True,0.3,True,1.21,False,True,False,False,88,53.3,64.7,,508.66,499.75,7
KIRLOSENG,1890.5,1812.85,1697.88,1349.37,True,5.04,True,0.47,True,0.96,False,False,False,False,97,60.0,72.5,,1906.9,1807.19,6
WELCORP,1402.3,1355.49,1238.6,992.64,True,1.73,True,0.6,False,1.2,False,True,False,False,97,61.5,77.0,⚠️ W RSI>75,1414.91,1382.32,6
CHENNPETRO,1137.7,1119.8,1065.95,924.84,True,8.91,True,0.56,True,1.33,False,False,False,False,94,55.8,66.0,,1159.96,1114.08,6
HSCL,680.5,635.72,587.49,511.13,True,3.81,True,1.93,False,1.18,False,True,False,False,94,67.7,71.3,,694.19,667.03,6
ANANDRATHI,1765.3,1761.69,1737.03,1546.22,True,5.29,True,0.57,True,0.78,False,False,False,False,92,51.1,61.5,,1771.47,1738.36,6
ANGELONE,339.5,330.11,312.19,274.27,True,3.28,True,0.44,True,1.07,False,False,False,False,92,57.4,60.1,,340.64,324.72,6
POLYCAB,9554.0,9384.88,8866.04,7821.5,True,2.84,True,0.54,True,1.13,False,False,False,False,91,60.6,68.1,,9585.58,9373.62,6
LLOYDSME,1761.9,1746.25,1663.36,1446.33,True,6.65,True,0.55,True,1.13,False,False,False,False,90,53.7,61.0,,1776.07,1703.69,6
NEULANDLAB,17198.0,16822.42,16007.08,14790.1,True,12.91,True,0.56,True,0.98,False,False,False,False,90,60.6,59.4,,17417.4,16964.02,6
ADANIENT,2921.6,2857.54,2622.28,2385.43,True,4.47,True,0.58,True,0.96,False,False,False,False,89,61.4,70.3,,2974.87,2883.31,6
CRAFTSMAN,8917.5,8788.54,8352.04,7392.11,True,8.43,True,0.48,True,0.94,False,False,False,False,89,56.8,70.6,,9026.02,8746.74,6
GRANULES,766.45,762.7,723.27,621.23,True,4.71,True,0.56,True,1.11,False,False,True,False,89,56.4,71.5,,779.73,762.34,6
OLECTRA,1296.0,1260.85,1219.19,1213.82,True,24.4,False,0.57,True,1.01,False,True,False,False,87,55.8,51.7,,1301.3,1267.73,6
KEI,5369.5,5213.84,5018.35,4460.35,True,1.95,True,0.49,True,1.21,False,False,False,False,86,58.8,61.3,,5388.38,5206.29,6
TRITURBINE,671.2,661.55,612.61,549.98,True,14.78,True,0.13,True,0.73,False,False,False,False,86,54.8,68.3,,673.47,644.31,6
ABCAPITAL,358.1,351.42,347.73,324.83,True,4.75,True,0.48,True,1.3,False,False,False,False,85,54.1,52.8,,359.66,341.56,6
TATACOMM,1966.6,1893.96,1761.54,1678.88,True,4.06,True,0.78,False,0.83,False,True,True,True,83,63.4,65.6,,1981.98,1942.26,6
PTCIL,18602.0,17773.56,17196.24,16705.08,True,6.29,True,0.56,True,0.78,False,True,False,False,75,60.9,57.2,,18691.67,18281.7,6
EXIDEIND,391.95,380.47,361.85,357.45,True,9.06,True,0.35,True,0.83,False,True,False,False,72,59.8,59.2,,394.29,387.61,6
ATHERENERG,1028.7,981.36,919.04,728.84,True,3.77,True,0.79,False,1.12,False,False,False,False,99,61.6,73.1,,1059.06,1018.48,5
CEMPRO,1122.4,1044.92,902.13,757.44,True,10.51,True,0.7,False,1.23,False,False,False,False,99,61.8,73.7,,1197.2,1115.38,5
HFCL,171.86,167.72,141.12,98.73,True,17.76,False,0.49,True,0.96,False,False,False,False,99,57.4,81.5,⚠️ W RSI>75,172.03,168.84,5
ACUTAAS,3145.3,3056.53,2794.32,2132.79,True,8.68,True,0.84,False,1.21,False,False,True,False,98,59.9,83.5,⚠️ W RSI>75,3193.69,3067.13,5
NETWEB,4587.4,4319.77,4045.71,3384.5,True,7.61,True,1.65,False,1.2,False,False,False,False,98,58.0,60.5,,4614.61,4310.69,5
SYRMA,1266.7,1150.48,1047.14,858.06,True,1.87,True,0.74,False,1.34,False,False,True,False,98,73.8,69.8,,1281.18,1248.75,5
IDEA,14.9,13.86,12.52,10.52,True,2.3,True,1.51,False,1.46,False,False,False,False,98,70.3,71.4,,15.11,14.2,5
ADANIGREEN,1485.7,1438.52,1313.36,1102.69,True,3.83,True,0.64,False,0.95,False,False,True,False,97,59.7,74.0,,1494.49,1453.74,5
APARINDS,15221.0,13470.97,12476.13,10123.36,True,0.78,True,1.72,False,1.18,False,False,False,False,97,72.9,71.6,,15355.34,14718.27,5
GVT&D,4942.5,4814.23,4524.12,3594.58,True,5.35,True,0.8,False,1.04,False,False,False,False,96,55.8,74.6,,4973.97,4775.22,5
LAURUSLABS,1394.3,1365.67,1267.59,1060.05,True,4.3,True,0.76,False,1.4,False,False,False,False,96,61.8,78.9,⚠️ W RSI>75,1411.41,1372.43,5
BELRISE,228.23,219.08,211.73,179.76,True,3.5,True,2.42,False,1.49,False,False,False,False,95,59.1,70.0,,229.98,222.99,5
BHEL,378.75,391.26,366.41,300.72,False,10.86,True,0.55,True,1.1,False,True,False,False,95,45.7,66.9,,380.53,369.33,5
RRKABEL,2168.2,2057.46,1861.22,1532.66,True,3.2,True,0.67,False,1.08,False,False,False,False,95,66.4,81.5,⚠️ W RSI>75,2218.92,2139.96,5
ACMESOLAR,335.75,322.57,300.77,267.05,True,7.96,True,0.85,False,1.08,False,False,False,False,94,62.0,70.4,,348.05,334.07,5
IFCI,84.57,71.51,65.73,58.51,True,0.0,True,2.38,False,1.6,False,False,False,False,94,67.5,66.8,,84.65,72.23,5
THERMAX,4726.3,4642.78,4302.64,3625.02,True,6.87,True,0.6,False,0.88,False,False,False,False,94,56.4,72.2,,4751.65,4621.97,5
ABDL,644.45,570.36,544.87,515.07,True,7.51,True,1.72,False,1.35,False,False,False,False,93,73.2,57.0,,647.6,608.24,5
BSE,4041.1,3991.89,3765.73,3090.17,True,9.12,True,0.72,False,0.91,False,False,False,False,93,54.4,66.5,,4059.56,3902.99,5
MAHABANK,87.3,80.4,76.84,66.14,True,0.37,True,1.2,False,1.56,False,False,False,False,93,72.4,64.7,,87.71,83.59,5
