symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
ABSLAMC,1055.1,1039.64,986.48,862.88,True,6.09,True,0.91,False,0.8,False,True,True,True,94,56.5,67.8,,1069.27,1044.05,7
ASTERDM,730.35,712.23,681.35,627.74,True,5.15,True,1.43,False,1.01,False,True,True,True,91,60.5,67.3,,742.69,726.57,7
HFCL,147.78,119.0,97.99,80.88,True,3.76,True,3.13,False,1.51,False,True,False,False,99,84.7,85.4,⚠️ D+W OB,153.7,146.55,6
DATAPATTNS,4062.5,3935.41,3580.61,2975.92,True,5.59,True,0.57,True,0.77,False,False,False,False,98,60.7,75.8,⚠️ W RSI>75,4149.45,4011.08,6
ZYDUSWELL,506.65,498.86,472.99,437.04,True,8.28,True,0.25,True,1.2,False,False,False,False,91,57.7,64.5,,542.54,500.6,6
HONASA,348.15,342.27,324.37,295.27,True,4.04,True,0.76,False,1.1,False,True,False,False,85,59.9,66.5,,354.75,346.65,6
VTL,613.75,591.76,560.37,490.27,True,5.14,True,1.23,False,1.52,False,True,True,True,84,60.7,74.5,,618.62,599.45,6
AUROPHARMA,1488.2,1421.89,1352.98,1235.12,True,1.67,True,0.86,False,1.06,False,True,True,True,82,71.2,69.8,,1505.5,1477.12,6
POWERINDIA,32265.0,31835.24,28588.32,22476.4,True,8.06,True,1.05,False,1.44,False,False,False,False,99,58.1,81.7,⚠️ W RSI>75,33693.66,32092.88,5
SCHNEIDER,1265.2,1202.16,1058.73,873.64,True,7.65,True,0.77,False,1.23,False,False,False,False,99,62.1,77.4,⚠️ W RSI>75,1340.34,1249.85,5
ATHERENERG,924.25,902.15,835.68,667.53,True,6.58,True,1.5,False,1.1,False,False,False,False,98,57.4,70.0,,975.92,916.08,5
MCX,3156.9,2924.92,2728.96,2206.94,True,3.04,True,1.14,False,1.33,False,False,False,False,98,73.5,74.7,,3259.26,3143.15,5
NETWEB,4016.0,3989.14,3700.14,3173.73,True,10.6,True,0.82,False,1.13,False,False,False,False,98,54.2,70.3,,4342.34,3977.02,5
APARINDS,12459.0,12073.99,11126.42,9365.47,True,4.15,True,0.65,False,0.88,False,False,False,False,97,60.2,68.1,,13011.0,12382.6,5
SCI,325.35,304.0,276.84,237.73,True,11.77,True,2.32,False,1.31,False,False,False,False,97,65.1,69.3,,351.2,322.63,5
WELCORP,1319.4,1200.96,1051.57,904.98,True,2.05,True,0.93,False,0.98,False,False,False,False,97,81.9,79.2,⚠️ D+W OB,1348.35,1311.89,5
LAURUSLABS,1268.0,1155.29,1098.63,976.82,True,1.63,True,1.46,False,1.23,False,False,False,False,96,76.6,65.5,,1290.29,1258.84,5
SYRMA,1075.2,1002.85,916.94,788.61,True,9.49,True,2.53,False,1.4,False,False,False,False,96,68.9,68.8,,1189.19,1058.99,5
BHEL,391.75,356.22,316.62,273.77,True,4.19,True,1.38,False,1.13,False,False,False,False,95,74.2,76.8,⚠️ W RSI>75,407.61,390.16,5
THERMAX,4483.0,4117.47,3745.7,3360.07,True,8.14,True,5.06,False,1.56,False,False,False,False,95,67.7,76.3,⚠️ W RSI>75,4569.06,4397.5,5
BSE,3851.9,3629.41,3318.87,2795.6,True,3.56,True,1.26,False,1.41,False,False,False,False,94,70.8,74.5,,3962.86,3836.46,5
BHARATFORG,1913.0,1887.3,1807.73,1546.59,True,6.41,True,2.04,False,1.54,False,False,False,False,93,55.8,70.9,,2001.0,1905.29,5
NATCOPHARM,1181.9,1118.01,1052.19,939.18,True,3.66,True,0.77,False,1.43,False,False,False,False,93,68.9,70.1,,1228.03,1174.82,5
RRKABEL,1938.8,1677.97,1545.25,1392.47,True,2.91,True,1.7,False,1.13,False,False,False,False,93,79.3,70.7,,1998.9,1913.08,5
CRAFTSMAN,8688.0,7959.74,7639.05,7025.26,True,10.78,True,26.39,False,2.08,False,False,False,False,92,70.4,70.2,,9063.05,8592.4,5
GRANULES,729.05,701.8,657.2,585.5,True,4.25,True,1.85,False,1.21,False,False,False,False,92,67.0,74.0,,758.16,725.37,5
GESHIP,1510.5,1505.19,1431.27,1215.16,True,6.7,True,1.12,False,1.22,False,False,False,False,92,53.1,74.3,,1586.48,1499.5,5
NAVA,697.5,674.81,632.24,586.68,True,5.67,True,0.9,False,1.01,False,False,False,False,92,60.7,66.0,,734.53,692.76,5
SAILIFE,1083.8,1056.71,1011.91,917.13,True,4.88,True,0.72,False,1.05,False,False,False,False,92,59.5,63.9,,1126.43,1071.83,5
ADANIGREEN,1308.0,1239.07,1111.44,1015.41,True,6.44,True,0.85,False,1.07,False,False,False,False,91,66.1,70.3,,1389.09,1294.8,5
MAHABANK,78.37,78.3,73.33,63.46,True,8.77,True,0.91,False,1.12,False,False,False,False,90,53.4,74.4,,82.53,77.92,5
HSCL,607.7,575.53,525.51,482.2,True,7.14,True,2.63,False,1.28,False,False,False,False,90,66.2,76.1,⚠️ W RSI>75,629.23,598.2,5
LLOYDSME,1703.8,1678.33,1522.28,1365.26,True,7.7,True,1.19,False,1.37,False,False,False,False,90,61.5,73.0,,1776.78,1694.5,5
NEULANDLAB,17003.0,15747.42,14678.97,14193.34,True,13.9,True,2.1,False,1.19,False,False,False,False,90,68.1,64.6,,17770.75,16888.1,5
FINCABLES,1073.5,1011.77,933.25,860.84,True,8.47,True,1.49,False,1.45,False,False,False,False,89,64.7,68.8,,1141.14,1064.03,5
AMBER,8163.5,8067.22,7604.31,7242.66,True,9.03,True,1.25,False,1.43,False,False,False,False,88,55.4,62.7,,8619.11,8095.4,5
HINDALCO,1041.4,1028.85,989.17,876.17,True,3.57,True,0.66,False,1.05,False,False,False,False,88,56.6,63.7,,1055.65,1023.98,5
POLYCAB,9021.5,8353.09,7973.33,7365.14,True,2.15,True,1.72,False,1.22,False,False,False,False,88,73.7,61.9,,9229.22,8970.02,5
IDEA,11.89,10.54,10.16,9.58,True,7.11,True,1.54,False,1.52,False,False,True,False,88,75.4,60.9,,12.12,11.62,5
EMCURE,1657.5,1648.18,1592.75,1448.62,True,9.43,True,0.92,False,0.79,False,False,False,False,87,52.5,60.4,,1706.7,1648.55,5
GRAPHITE,717.0,710.2,681.65,612.18,True,6.24,True,0.82,False,1.02,False,False,False,False,87,54.5,60.1,,748.1,711.34,5
NAM-INDIA,1038.1,1022.46,965.16,870.61,True,7.14,True,1.06,False,0.87,False,False,False,False,87,55.4,66.6,,1070.47,1027.97,5
CGPOWER,833.7,812.32,762.17,704.01,True,5.99,True,2.2,False,1.24,False,False,False,False,86,59.6,66.3,,864.61,830.87,5
VIJAYA,1279.2,1143.62,1059.04,1017.18,True,6.97,True,6.58,False,1.61,False,False,False,False,86,75.8,66.9,,1331.63,1258.84,5
RADICO,3428.6,3283.41,3081.75,2917.41,True,4.55,True,1.35,False,0.88,False,False,False,False,85,64.8,66.4,,3521.02,3397.4,5
COALINDIA,463.05,461.74,450.9,414.34,True,5.74,True,0.96,False,1.12,False,True,False,False,75,52.8,61.9,,469.47,461.19,5
GALLANTT,817.1,824.06,731.4,612.1,False,13.81,True,0.33,True,1.05,False,False,False,False,97,53.1,68.5,,910.91,802.55,4
HINDCOPPER,564.2,549.11,537.75,445.23,True,25.65,False,0.87,False,1.3,False,False,False,False,96,57.2,60.0,,592.89,559.79,4
NATIONALUM,394.05,407.87,395.39,314.23,False,11.04,True,0.49,True,0.83,False,False,False,False,96,43.0,63.0,,403.6,391.91,4
GABRIEL,1098.7,1040.68,989.92,965.7,True,20.7,False,1.38,False,1.03,False,False,False,False,95,65.8,57.1,,1131.03,1088.91,4
ABDL,567.45,543.32,515.51,502.84,True,18.56,False,0.85,False,1.1,False,False,False,False,94,60.8,57.5,,591.39,564.73,4
CUMMINSIND,5160.0,5188.9,4958.86,4349.83,False,5.68,True,0.57,True,1.06,False,False,False,False,93,51.9,72.1,,5270.26,5142.35,4
ENGINERSIN,236.95,244.3,226.39,204.59,False,11.25,True,0.59,True,0.98,False,False,False,False,91,48.4,70.9,,250.0,235.36,4
