symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
WELSPUNLIV,210.5,194.8,178.97,151.71,True,2.55,True,0.98,False,0.95,False,True,True,True,97,76.7,78.0,⚠️ W RSI>75,213.41,208.28,7
IPCALAB,1970.9,1923.75,1838.07,1637.75,True,1.53,True,0.3,True,0.58,True,False,True,False,90,65.0,70.8,,1981.88,1951.15,7
WOCKPHARMA,2220.6,2024.4,1944.07,1713.5,True,8.33,True,3.46,False,1.42,False,True,True,True,89,68.9,68.5,,2269.27,2194.8,7
CARTRADE,3034.7,2980.03,2821.73,2448.51,True,7.77,True,0.45,True,1.19,False,True,False,False,88,55.9,67.4,,3067.06,2991.21,7
VIJAYA,1498.8,1479.65,1424.76,1232.99,True,5.02,True,0.68,False,1.12,False,True,True,True,86,57.6,68.7,,1518.32,1493.21,7
LAURUSLABS,1945.0,1867.22,1748.75,1373.49,True,0.51,True,0.52,True,0.98,False,False,True,False,98,65.5,78.3,⚠️ W RSI>75,1952.45,1918.98,6
AEGISLOG,1307.6,1295.73,1250.11,979.2,True,12.7,True,0.56,True,1.06,False,False,False,False,97,51.6,61.5,,1386.38,1299.7,6
KALYANKJIL,615.2,599.81,560.49,487.55,True,5.2,True,0.31,True,0.97,False,False,False,False,97,57.7,61.9,,620.97,602.9,6
SONACOMS,803.5,797.52,758.56,626.0,True,4.8,True,0.41,True,0.97,False,False,False,False,96,55.2,76.2,⚠️ W RSI>75,813.96,791.41,6
MCX,3300.0,3203.29,3041.13,2669.92,True,4.94,True,0.69,False,0.88,False,True,False,False,95,59.9,65.0,,3338.84,3281.72,6
BHEL,429.5,424.56,414.4,353.96,True,3.81,True,0.44,True,0.96,False,False,True,False,94,54.5,62.9,,435.89,426.62,6
SOLARINDS,22370.0,20821.29,19652.03,16931.77,True,1.13,True,1.0,False,0.89,False,True,False,False,93,75.7,75.2,⚠️ W RSI>75,22517.5,22157.82,6
HONASA,475.65,473.14,459.78,384.21,True,6.12,True,0.51,True,0.94,False,False,False,False,91,52.6,66.8,,484.38,469.18,6
BALRAMCHIN,705.15,680.37,642.17,562.17,True,9.71,True,0.82,False,0.65,True,False,False,False,89,57.4,64.1,,714.71,692.61,6
JYOTICNC,1003.9,972.85,895.74,844.03,True,5.19,True,0.72,False,0.92,False,True,False,False,89,59.3,64.6,,1019.02,995.6,6
NYKAA,341.95,335.93,325.65,287.17,True,2.17,True,0.54,True,0.85,False,False,False,False,87,57.4,69.3,,345.75,338.76,6
MINDACORP,703.1,709.25,695.56,621.27,False,8.57,True,0.3,True,0.62,True,True,True,True,82,47.6,63.2,,710.21,696.8,6
FIVESTAR,530.65,530.59,525.98,515.89,True,20.03,False,0.59,True,0.86,False,True,True,True,72,49.8,49.9,,535.38,526.77,6
ATHERENERG,1658.3,1558.46,1414.75,1027.37,True,4.91,True,0.82,False,0.97,False,False,False,False,99,64.4,81.3,⚠️ W RSI>75,1663.56,1605.79,5
WELCORP,2776.9,2385.49,2042.93,1427.21,True,0.28,True,0.93,False,0.94,False,False,False,False,99,82.7,93.7,⚠️ D+W OB,2787.58,2603.89,5
CPPLUS,3829.1,3658.02,3530.83,2688.21,True,6.47,True,0.81,False,1.05,False,False,False,False,98,60.6,68.4,,3883.78,3658.34,5
CHENNPETRO,1626.4,1423.95,1312.01,1072.0,True,2.22,True,1.43,False,1.26,False,False,False,False,98,75.4,77.6,⚠️ W RSI>75,1664.96,1567.33,5
KIRLOSENG,2209.0,2166.5,2140.97,1753.64,True,18.62,False,1.09,False,1.44,False,True,False,False,98,54.0,62.3,,2252.85,2182.32,5
REDINGTON,392.0,360.27,329.26,279.96,True,2.79,True,1.13,False,0.92,False,False,False,False,98,70.5,75.7,⚠️ W RSI>75,403.65,379.92,5
PAYTM,1739.0,1634.59,1497.2,1279.7,True,1.13,True,0.91,False,0.97,False,False,True,False,97,66.2,67.7,,1758.76,1718.38,5
PFOCUS,313.55,296.2,284.21,256.53,True,14.56,True,1.56,False,1.08,False,False,True,False,97,62.1,60.1,,321.32,310.84,5
ACUTAAS,3451.4,3247.21,3241.87,2687.85,True,7.72,True,0.98,False,0.89,False,False,False,False,96,60.6,58.4,,3467.46,3216.78,5
APARINDS,17342.0,17056.55,16044.4,12952.19,True,6.08,True,0.8,False,0.96,False,False,False,False,96,56.0,71.7,,17612.59,17022.96,5
NEULANDLAB,23800.0,22880.37,21331.22,17642.62,True,1.75,True,0.74,False,1.4,False,False,True,False,96,61.9,75.1,⚠️ W RSI>75,24174.15,23211.76,5
SYRMA,1598.8,1493.48,1421.24,1132.93,True,3.69,True,0.89,False,1.4,False,False,False,False,96,65.8,69.5,,1641.54,1592.41,5
FINCABLES,1418.4,1255.82,1175.37,1011.52,True,0.74,True,1.76,False,1.21,False,False,False,False,95,69.3,71.1,,1430.43,1335.36,5
SAILIFE,1591.1,1523.66,1414.72,1162.7,True,6.24,True,1.73,False,1.22,False,False,False,False,95,62.4,85.2,⚠️ W RSI>75,1677.08,1583.42,5
CRAFTSMAN,11851.0,11007.48,10332.91,8746.82,True,1.23,True,0.72,False,1.3,False,False,False,False,94,74.1,79.1,⚠️ W RSI>75,12011.0,11219.77,5
DIVISLAB,9438.5,9016.38,8332.54,7148.23,True,1.84,True,0.96,False,1.2,False,False,False,False,94,68.2,83.3,⚠️ W RSI>75,9613.6,9377.11,5
GLAND,2946.9,2874.94,2693.93,2235.0,True,3.13,True,2.01,False,1.21,False,False,False,False,93,61.6,74.4,,3034.03,2915.98,5
JINDALSAW,317.5,298.49,280.3,238.16,True,0.78,True,0.94,False,0.89,False,False,False,False,93,70.9,69.5,,320.32,308.29,5
NAVINFLUOR,8700.5,8478.88,8110.02,7011.54,True,2.78,True,0.64,False,0.95,False,False,False,False,93,61.6,79.6,⚠️ W RSI>75,8780.27,8613.38,5
IDEA,14.9,14.6,14.07,12.17,True,5.64,True,1.64,False,1.14,False,False,False,False,93,56.1,62.6,,15.72,14.81,5
