symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
CAPLIPOINT,2616.1,2498.51,2281.28,2020.36,True,2.71,True,0.51,True,1.08,False,True,True,True,94,65.0,79.6,⚠️ W RSI>75,2640.14,2563.93,8
CEMPRO,1583.7,1374.23,1169.24,879.99,True,0.86,True,0.42,True,1.29,False,True,False,False,99,80.4,80.3,⚠️ D+W OB,1593.59,1553.84,7
HFCL,214.63,207.49,180.65,119.71,True,6.48,True,0.34,True,0.96,False,True,False,False,99,60.1,77.2,⚠️ W RSI>75,219.01,211.29,7
SYRMA,1431.7,1367.42,1240.98,959.55,True,5.67,True,0.93,False,1.04,False,True,True,True,98,64.0,73.7,,1450.95,1418.68,7
ADANIENSOL,1644.6,1568.68,1475.13,1194.82,True,3.94,True,0.85,False,1.18,False,True,True,True,96,65.9,75.0,,1668.87,1632.37,7
ANANDRATHI,2117.7,1989.57,1878.72,1630.11,True,2.69,True,1.0,False,1.15,False,True,True,True,95,72.9,78.0,⚠️ W RSI>75,2145.14,2093.7,7
USHAMART,510.15,496.5,483.53,441.98,True,3.29,True,0.41,True,1.18,False,True,True,True,82,58.2,58.2,,514.51,504.59,7
CARTRADE,2799.3,2635.83,2356.22,2193.76,True,14.93,True,0.46,True,0.89,False,False,False,False,97,68.2,65.4,,2877.27,2776.22,6
RRKABEL,2374.8,2282.64,2121.96,1697.06,True,6.83,True,0.52,True,1.15,False,False,False,False,97,60.6,67.6,,2392.49,2172.82,6
HONASA,472.25,447.41,412.55,343.81,True,1.37,True,0.35,True,0.92,False,False,False,False,94,74.5,79.5,⚠️ W RSI>75,478.98,460.54,6
ACMESOLAR,378.8,364.63,338.2,286.82,True,4.86,True,0.58,True,1.0,False,False,False,False,92,63.0,69.9,,384.78,365.18,6
NYKAA,328.4,307.52,289.69,261.95,True,1.13,True,1.24,False,0.97,False,True,False,False,92,76.1,69.7,,332.48,326.72,6
CRAFTSMAN,9333.0,9229.89,8901.66,7795.51,True,6.09,True,0.22,True,0.95,False,False,False,False,91,56.4,63.2,,9429.42,9213.28,6
MINDACORP,704.35,679.38,636.55,577.87,True,1.3,True,0.48,True,1.17,False,False,False,False,91,66.8,68.1,,709.46,684.86,6
BHARATFORG,2145.6,2094.19,2007.71,1715.04,True,3.84,True,0.49,True,0.97,False,False,False,False,90,62.2,73.3,,2155.15,2094.2,6
NAVINFLUOR,7637.0,7518.8,7246.4,6341.51,True,2.22,True,0.47,True,1.17,False,False,False,False,90,56.0,72.9,,7726.72,7587.4,6
VIJAYA,1388.8,1345.73,1282.62,1118.36,True,2.73,True,0.46,True,0.91,False,False,False,False,90,58.8,70.4,,1408.31,1356.84,6
GABRIEL,1265.0,1217.41,1146.39,1035.9,True,8.7,True,0.59,True,1.02,False,False,False,False,89,61.6,62.5,,1273.77,1226.77,6
FEDERALBNK,332.5,324.41,311.63,275.97,True,1.19,True,0.35,True,1.22,False,False,False,False,87,67.0,69.4,,336.84,326.97,6
CUB,225.13,213.41,203.96,192.52,True,7.38,True,0.9,False,1.21,False,True,False,False,85,64.7,63.0,,227.71,223.34,6
SAREGAMA,498.5,472.92,442.22,412.74,True,3.09,True,0.15,True,1.46,False,False,False,False,85,61.8,67.1,,503.5,469.68,6
IKS,1903.4,1793.65,1706.55,1611.18,True,1.53,True,1.11,False,1.3,False,True,True,True,81,67.8,64.3,,1933.93,1888.11,6
PRESTIGE,1724.3,1603.13,1508.58,1483.94,True,4.84,True,1.4,False,1.24,False,True,True,True,75,70.6,62.0,,1732.23,1685.91,6
ATHERENERG,1184.6,1107.68,1020.47,796.81,True,5.5,True,1.15,False,1.24,False,False,False,False,99,66.9,77.2,⚠️ W RSI>75,1254.85,1160.14,5
ACUTAAS,3495.2,3389.78,3137.31,2372.31,True,6.55,True,0.82,False,1.12,False,False,False,False,98,59.0,74.1,,3513.51,3360.24,5
AEGISLOG,1293.6,1171.88,990.99,803.82,True,8.64,True,0.85,False,1.37,False,False,False,False,98,68.9,76.3,⚠️ W RSI>75,1315.91,1225.37,5
KIRLOSENG,2436.2,2278.93,2049.12,1535.2,True,10.43,True,1.07,False,0.88,False,False,False,False,98,64.7,73.2,,2574.57,2417.58,5
LAURUSLABS,1558.6,1479.8,1388.75,1135.38,True,0.43,True,0.88,False,1.16,False,False,False,False,97,66.9,75.9,⚠️ W RSI>75,1566.97,1523.57,5
WELCORP,1619.9,1496.53,1380.61,1082.41,True,1.15,True,1.52,False,0.97,False,False,False,False,97,70.4,82.2,⚠️ W RSI>75,1640.44,1590.31,5
GRANULES,897.65,827.53,778.57,659.54,True,1.12,True,1.18,False,1.1,False,False,False,False,96,79.3,78.4,⚠️ W RSI>75,908.71,884.36,5
J&KBANK,182.6,165.01,152.96,126.9,True,9.49,True,2.38,False,1.82,False,False,True,False,96,69.3,76.9,⚠️ W RSI>75,191.84,181.76,5
OFSS,11746.0,10783.78,9994.49,8620.66,True,1.77,True,1.05,False,1.06,False,False,False,False,96,75.9,71.0,,11969.96,11537.45,5
ADANIGREEN,1546.5,1512.94,1430.86,1184.85,True,2.68,True,0.6,False,1.22,False,False,False,False,95,58.5,69.8,,1576.98,1521.48,5
BELRISE,236.56,232.71,225.59,190.58,True,6.13,True,1.51,False,1.1,False,False,False,False,95,54.8,64.8,,239.5,228.84,5
BHEL,409.1,395.31,383.87,320.87,True,3.72,True,0.84,False,1.15,False,False,False,False,95,57.5,59.2,,412.41,389.21,5
AEGISVOPAK,303.3,254.86,231.05,225.21,True,2.63,True,4.02,False,1.71,False,False,False,False,94,76.4,67.9,,311.8,271.88,5
CGCL,256.65,230.75,213.34,190.6,True,2.98,True,3.01,False,1.55,False,False,True,False,94,81.1,72.7,⚠️ D RSI>80,261.22,251.01,5
RADICO,4045.4,3900.58,3660.57,3202.43,True,2.8,True,0.93,False,0.87,False,False,False,False,94,68.7,76.5,⚠️ W RSI>75,4097.69,4007.29,5
GODREJIND,1382.4,1205.54,1128.37,1066.93,True,4.2,True,1.94,False,1.7,False,False,True,False,93,79.1,65.3,,1405.8,1363.64,5
NEULANDLAB,19019.0,18447.06,17380.31,15375.04,True,5.33,True,0.82,False,1.3,False,False,False,False,93,65.3,72.5,,19577.56,18610.37,5
SAILIFE,1272.1,1225.38,1173.67,1015.04,True,1.23,True,0.7,False,1.36,False,False,False,False,93,63.8,67.3,,1289.29,1253.74,5
NAM-INDIA,1215.3,1173.25,1113.67,962.91,True,1.48,True,0.61,False,1.29,False,False,False,False,92,62.7,67.0,,1224.22,1197.8,5
NUVAMA,1919.7,1807.16,1658.9,1458.01,True,3.71,True,0.73,False,1.29,False,False,False,False,92,66.2,75.6,⚠️ W RSI>75,1983.58,1901.7,5
ADANIENT,3177.5,3070.5,2882.66,2520.78,True,2.08,True,0.85,False,1.15,False,False,False,False,91,61.8,68.5,,3198.2,3112.08,5
GLAND,2461.2,2396.12,2243.16,1952.96,True,4.36,True,0.97,False,1.22,False,False,False,False,91,61.5,72.5,,2508.91,2413.98,5
JBCHEPHARM,2460.0,2333.1,2234.63,2007.67,True,0.57,True,2.22,False,1.13,False,False,False,False,90,81.1,77.0,⚠️ D+W OB,2472.47,2404.19,5
PAYTM,1386.5,1203.79,1153.86,1136.0,True,0.78,True,1.78,False,1.6,False,False,False,False,90,80.6,58.3,⚠️ D RSI>80,1398.8,1327.17,5
CHENNPETRO,1157.9,1131.51,1104.16,967.73,True,7.29,True,1.05,False,1.5,False,False,False,False,89,55.3,58.2,,1234.63,1123.88,5
HSCL,663.1,659.95,631.98,541.5,True,7.65,True,0.65,False,0.89,False,False,False,False,89,52.3,62.2,,670.47,652.35,5
LTF,324.7,309.16,294.72,272.48,True,4.11,True,1.96,False,1.46,False,False,False,False,89,64.4,62.1,,333.83,317.68,5
AIAENG,4732.0,4713.87,4488.38,3974.06,True,8.65,True,0.97,False,0.74,False,False,False,False,88,54.2,64.3,,4769.76,4635.36,5
DATAPATTNS,4270.3,4432.89,4252.89,3512.28,False,13.83,True,0.51,True,0.96,False,True,False,False,88,44.6,61.7,,4349.34,4231.36,5
WELSPUNLIV,174.14,162.66,151.72,137.61,True,0.47,True,0.77,False,1.06,False,False,False,False,88,66.6,62.0,,175.14,163.31,5
RBLBANK,380.6,367.03,354.85,317.33,True,0.39,True,1.1,False,1.24,False,False,False,False,87,60.0,63.6,,382.48,374.58,5
STARHEALTH,599.75,578.12,550.19,499.42,True,2.35,True,0.77,False,0.93,False,False,False,False,87,69.5,74.0,,614.56,594.5,5
ABCAPITAL,407.45,390.36,373.21,338.14,True,0.79,True,0.77,False,1.26,False,False,False,False,86,62.1,62.2,,408.91,398.8,5
BSE,3804.2,3853.99,3818.59,3250.46,False,14.23,True,0.9,False,1.08,False,True,True,True,86,45.2,59.3,,3838.23,3761.24,5
PHOENIXLTD,2154.0,1989.53,1882.49,1750.76,True,0.43,True,2.46,False,1.3,False,False,False,False,86,74.2,71.8,,2165.56,2111.39,5
TORNTPHARM,4951.1,4702.64,4536.75,4123.91,True,0.44,True,1.69,False,1.08,False,False,False,False,86,79.1,71.8,,4977.97,4856.64,5
SHRIRAMFIN,1048.1,1021.87,992.71,914.01,True,4.87,True,0.89,False,1.4,False,False,False,False,85,60.9,56.2,,1054.15,1015.98,5
ZYDUSWELL,592.65,558.02,527.71,472.23,True,2.36,True,0.61,False,1.04,False,False,False,False,85,65.2,67.2,,601.55,582.22,5
ABSLAMC,1173.7,1144.23,1098.71,952.72,True,4.18,True,0.59,True,0.76,False,False,False,False,84,57.4,63.9,,1180.28,1136.06,5
VTL,650.65,639.71,621.0,543.49,True,5.43,True,0.41,True,1.03,False,False,False,False,83,55.9,66.4,,653.6,625.97,5
