symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
REDINGTON,346.0,321.02,289.72,261.35,True,5.08,True,0.35,True,0.88,False,True,True,True,97,70.3,72.0,,350.35,340.21,8
RBLBANK,387.25,379.3,367.96,330.5,True,1.39,True,0.29,True,0.68,True,True,True,True,82,60.7,69.4,,389.89,385.01,8
RRKABEL,2834.2,2622.89,2404.58,1871.09,True,0.48,True,0.33,True,0.69,True,False,False,False,98,73.0,73.8,,2850.85,2777.72,7
WELCORP,1883.9,1736.93,1590.71,1218.32,True,0.11,True,0.57,True,0.74,False,True,False,False,98,76.3,85.4,⚠️ W RSI>75,1887.89,1867.73,7
DATAPATTNS,4529.3,4429.47,4343.01,3692.15,True,8.41,True,0.44,True,0.61,True,False,False,False,92,54.6,61.1,,4594.59,4483.11,7
EXIDEIND,485.5,457.81,426.56,381.71,True,2.2,True,0.91,False,0.88,False,True,True,True,89,69.3,76.2,⚠️ W RSI>75,493.29,482.27,7
ABB,7710.0,7449.33,7193.76,6432.03,True,1.56,True,0.46,True,0.64,True,False,False,False,88,66.1,61.8,,7779.77,7651.34,7
KARURVYSYA,335.95,331.09,316.26,284.86,True,4.51,True,0.28,True,0.66,True,False,False,False,88,58.2,66.0,,340.34,333.87,7
LTF,315.35,312.54,304.86,281.7,True,6.87,True,0.49,True,0.95,False,True,False,False,88,54.5,57.6,,317.62,312.69,7
CREDITACC,1542.4,1534.86,1482.31,1360.92,True,4.79,True,0.62,False,0.6,True,True,True,True,72,53.4,60.2,,1557.36,1534.46,7
CIPLA,1458.8,1453.45,1428.65,1403.94,True,11.99,True,0.42,True,0.48,True,True,True,True,40,54.1,58.0,,1465.86,1454.74,7
HSCL,778.15,750.6,707.89,583.57,True,5.05,True,0.34,True,0.7,False,False,False,False,95,60.7,77.2,⚠️ W RSI>75,785.13,764.73,6
FEDERALBNK,352.45,351.81,336.28,291.49,True,5.18,True,0.3,True,0.73,False,False,False,False,92,54.1,75.9,⚠️ W RSI>75,356.86,351.65,6
ANANDRATHI,2198.8,2089.18,2001.64,1723.94,True,1.4,True,0.5,True,1.11,False,False,False,False,91,75.1,76.1,⚠️ W RSI>75,2232.23,2179.02,6
IIFL,635.95,597.75,560.37,518.49,True,5.09,True,0.54,True,0.82,False,False,False,False,91,72.3,68.2,,638.54,620.53,6
ACMESOLAR,374.5,370.9,358.19,303.91,True,6.06,True,0.31,True,0.71,False,False,False,False,90,53.8,62.7,,377.48,368.83,6
