symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
FEDERALBNK,323.4,309.57,298.06,266.93,True,0.46,True,0.54,True,0.62,True,True,True,True,85,72.7,70.3,,324.27,321.38,9
NETWEB,5111.1,4612.9,4239.5,3479.93,True,2.53,True,1.34,False,0.87,False,True,True,True,98,66.9,67.5,,5175.07,5007.59,7
POWERINDIA,36760.0,35337.53,33252.97,25822.01,True,5.22,True,0.59,True,0.69,True,False,True,False,95,60.2,69.8,,37137.1,36323.64,7
ABDL,631.55,597.64,563.17,520.88,True,9.36,True,0.5,True,0.69,True,False,False,False,94,67.2,64.9,,642.64,629.37,7
DATAPATTNS,4866.2,4411.45,4075.4,3320.74,True,1.81,True,1.07,False,0.87,False,True,True,True,94,67.2,74.1,,4942.24,4817.18,7
ANGELONE,354.8,340.01,320.65,278.17,True,1.57,True,0.65,False,0.76,False,True,True,True,90,63.2,67.1,,356.56,350.15,7
NAM-INDIA,1188.4,1117.46,1064.61,932.85,True,0.47,True,0.64,False,0.65,True,True,False,False,90,66.1,67.5,,1195.19,1178.82,7
BSE,4032.7,4019.12,3827.73,3146.83,True,9.31,True,0.9,False,0.89,False,True,True,True,89,52.5,68.6,,4059.05,3978.12,7
TIINDIA,3307.9,3151.18,3013.97,2857.54,True,3.19,True,0.53,True,0.69,True,True,False,False,76,64.9,63.5,,3338.13,3273.82,7
CEMPRO,1273.2,1121.01,967.74,784.02,True,0.53,True,0.21,True,0.85,False,False,False,False,99,71.0,72.4,,1281.28,1226.77,6
HFCL,209.46,181.46,153.07,104.14,True,4.83,True,0.52,True,0.97,False,False,False,False,99,73.4,73.5,,220.31,204.89,6
SYRMA,1336.2,1227.91,1105.45,882.21,True,1.53,True,0.61,False,0.89,False,True,False,False,99,76.3,77.1,⚠️ W RSI>75,1358.36,1327.17,6
ACUTAAS,3249.6,3091.98,2865.2,2196.25,True,5.65,True,0.72,False,0.9,False,True,False,False,98,62.8,70.3,,3267.26,3167.03,6
ADANIGREEN,1549.9,1467.23,1353.15,1126.62,True,0.33,True,0.46,True,0.86,False,False,False,False,97,65.4,69.9,,1556.55,1489.01,6
APARINDS,16172.0,14655.77,13247.35,10496.43,True,3.08,True,1.22,False,1.03,False,True,False,False,97,72.9,83.1,⚠️ W RSI>75,16391.38,15998.98,6
RRKABEL,2353.3,2151.23,1943.69,1582.94,True,0.87,True,1.42,False,1.01,False,True,False,False,96,77.2,80.5,⚠️ W RSI>75,2376.37,2321.78,6
WELCORP,1404.4,1374.57,1272.28,1016.01,True,2.08,True,0.43,True,0.82,False,False,True,False,96,59.1,76.2,⚠️ W RSI>75,1432.93,1392.61,6
ADANIENSOL,1539.4,1491.47,1392.47,1137.95,True,4.67,True,0.49,True,0.77,False,False,False,False,94,60.6,68.0,,1545.94,1494.6,6
OLAELEC,42.52,42.29,39.08,38.63,True,40.32,False,0.58,True,0.74,False,True,False,False,94,54.3,56.9,,43.73,41.99,6
DEEPAKFERT,1602.6,1484.28,1368.92,1280.62,True,9.25,True,0.59,True,0.77,False,False,False,False,93,70.4,68.1,,1611.71,1556.64,6
SCI,322.8,306.61,298.09,255.75,True,12.46,True,0.59,True,0.93,False,False,False,False,91,60.9,61.7,,329.33,313.69,6
THERMAX,4863.9,4692.69,4398.21,3678.94,True,4.16,True,0.44,True,0.78,False,False,False,False,91,60.6,73.1,,4879.87,4685.51,6
TRITURBINE,737.3,671.93,627.51,557.95,True,6.39,True,0.41,True,1.1,False,False,False,False,91,66.6,67.4,,749.75,662.19,6
HONASA,415.85,403.04,376.89,321.75,True,5.13,True,0.28,True,0.8,False,False,False,False,89,63.1,70.8,,421.42,411.59,6
NEULANDLAB,17224.0,16957.43,16241.77,14900.27,True,12.78,True,0.44,True,0.93,False,False,False,False,89,57.9,64.1,,17489.47,16993.99,6
KEI,5660.5,5380.37,5137.02,4536.14,True,0.45,True,0.74,False,1.02,False,True,False,False,88,66.1,67.7,,5691.69,5597.4,6
NUVAMA,1740.8,1609.72,1505.49,1384.72,True,2.15,True,0.97,False,1.11,False,True,False,False,88,74.6,71.1,,1761.06,1719.28,6
CGPOWER,962.55,921.34,865.67,754.69,True,0.76,True,0.86,False,0.74,False,True,False,False,87,66.5,74.8,,969.87,953.1,6
MOTHERSON,145.85,142.35,135.37,120.46,True,3.9,True,0.69,False,0.69,True,False,False,False,85,59.9,65.7,,146.61,143.16,6
