symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
ADANIPOWER,219.32,215.97,196.6,158.47,True,6.43,True,0.59,True,0.68,True,True,True,True,98,59.3,74.7,,222.69,218.78,9
BHEL,408.55,383.06,340.75,283.55,True,2.24,True,0.55,True,0.71,False,True,True,True,97,71.0,77.4,⚠️ W RSI>75,413.96,406.69,8
NATCOPHARM,1169.7,1146.46,1084.66,955.68,True,4.65,True,0.49,True,1.09,False,True,True,True,90,58.1,66.4,,1184.08,1163.44,8
GVT&D,4849.5,4481.5,4200.34,3377.49,True,2.28,True,1.73,False,1.31,False,True,True,True,98,68.3,68.9,,4917.31,4759.24,7
NATIONALUM,409.25,406.57,398.19,320.56,True,7.61,True,0.45,True,0.74,False,True,False,False,97,51.9,59.7,,410.16,402.85,7
ADANIENSOL,1367.9,1323.38,1228.07,1042.64,True,6.54,True,1.08,False,0.86,False,True,True,True,94,61.2,68.8,,1393.19,1361.74,7
LLOYDSME,1737.3,1696.23,1574.37,1393.54,True,5.89,True,0.56,True,0.99,False,True,False,False,94,60.0,63.3,,1744.54,1706.29,7
CHENNPETRO,1016.6,1028.68,1009.13,890.61,False,12.34,True,0.2,True,0.67,True,True,True,True,93,47.9,55.4,,1025.82,1010.89,7
CUMMINSIND,5353.0,5271.98,5062.12,4425.35,True,2.15,True,0.44,True,1.17,False,True,False,False,93,57.6,70.2,,5424.42,5330.16,7
GLAND,2334.0,1997.08,1867.9,1786.21,True,1.52,True,22.53,False,1.85,False,True,True,True,93,78.4,71.5,,2365.86,2304.89,7
EMCURE,1713.6,1681.94,1623.86,1467.9,True,6.36,True,0.27,True,0.66,True,False,False,False,91,55.9,63.6,,1754.45,1703.49,7
J&KBANK,140.03,133.2,127.07,112.98,True,3.43,True,0.57,True,1.03,False,True,False,False,91,60.5,66.6,,142.29,139.09,7
CRAFTSMAN,8702.0,8289.5,7889.33,7142.43,True,10.64,True,0.29,True,0.66,True,False,False,False,89,67.1,60.9,,8782.77,8416.58,7
POLYCAB,9263.5,8802.75,8298.32,7517.81,True,0.57,True,0.51,True,0.83,False,True,False,False,89,72.9,66.5,,9325.82,9184.81,7
MAHABANK,80.04,78.67,74.86,64.53,True,6.82,True,0.43,True,0.66,True,False,False,False,88,56.8,63.2,,80.53,78.93,7
BHARATFORG,1897.7,1894.95,1833.94,1571.32,True,7.16,True,0.51,True,0.82,False,True,False,False,86,52.2,62.7,,1918.82,1890.11,7
HSCL,587.15,580.7,541.74,489.58,True,10.16,True,1.47,False,1.09,False,True,True,True,85,55.0,65.2,,598.0,578.77,7
BSE,4193.8,3903.1,3536.53,2915.93,True,2.44,True,1.05,False,1.2,False,True,False,False,97,76.7,77.0,⚠️ W RSI>75,4236.23,4147.35,6
NETWEB,3851.3,3905.06,3738.41,3220.13,False,14.26,True,0.58,True,0.82,False,True,True,True,96,49.2,56.9,,3894.89,3816.28,6
RRKABEL,1947.6,1830.97,1658.16,1436.47,True,4.95,True,0.8,False,0.76,False,True,False,False,94,67.9,72.1,,1960.86,1910.19,6
NAVINFLUOR,7125.0,6890.88,6616.3,5896.16,True,1.44,True,0.68,False,1.03,False,True,False,False,91,65.9,69.0,,7182.17,7023.97,6
SAILIFE,1113.8,1090.44,1040.49,932.74,True,3.42,True,0.95,False,1.06,False,True,False,False,88,58.9,66.5,,1139.24,1100.9,6
KEI,5260.5,5030.11,4808.72,4317.69,True,1.21,True,0.75,False,0.74,False,True,False,False,87,66.0,64.3,,5330.32,5227.37,6
NAM-INDIA,1080.4,1057.11,998.03,887.32,True,3.96,True,0.88,False,1.06,False,True,False,False,87,57.6,63.4,,1090.09,1063.44,6
JPPOWER,18.76,18.62,17.81,17.13,True,32.27,False,0.86,False,0.75,False,True,True,True,86,52.8,55.1,,18.95,18.61,6
VIJAYA,1227.1,1217.05,1119.49,1032.64,True,11.03,True,1.15,False,1.0,False,True,False,False,86,56.3,64.3,,1257.26,1220.18,6
USHAMART,465.7,462.48,447.45,420.23,True,6.32,True,0.54,True,0.79,False,True,False,False,84,54.7,56.8,,469.17,458.59,6
ADANIPORTS,1786.9,1720.46,1619.78,1484.52,True,2.03,True,0.53,True,0.74,False,True,False,False,81,65.5,68.8,,1804.1,1778.72,6
SARDAEN,568.35,565.98,557.67,531.36,True,11.16,True,0.86,False,1.05,False,True,True,True,77,51.2,49.7,,570.57,560.19,6
ZYDUSLIFE,1038.95,973.8,941.16,928.97,True,5.0,True,6.06,False,1.36,False,True,True,True,75,69.9,62.7,,1048.5,1035.76,6
JSWSTEEL,1285.5,1270.68,1243.26,1174.26,True,2.17,True,1.1,False,0.92,False,True,True,True,73,57.4,56.6,,1291.19,1276.82,6
HFCL,148.21,133.0,110.8,85.63,True,4.57,True,0.84,False,0.95,False,False,False,False,99,71.3,77.8,⚠️ W RSI>75,149.13,140.98,5
POWERINDIA,35555.0,33103.82,30050.0,23358.5,True,3.25,True,1.04,False,1.23,False,False,False,False,99,67.4,73.7,,36736.7,35379.58,5
MCX,3269.9,3155.67,2897.06,2294.06,True,6.04,True,0.81,False,1.07,False,False,False,False,99,62.9,77.6,⚠️ W RSI>75,3360.66,3254.04,5
LAURUSLABS,1343.5,1254.48,1162.75,1003.28,True,2.21,True,0.95,False,0.83,False,False,False,False,98,77.7,74.3,,1357.06,1330.77,5
SCHNEIDER,1307.6,1246.59,1119.6,903.19,True,4.55,True,1.09,False,1.0,False,False,False,False,98,60.1,74.1,,1368.37,1297.7,5
WELCORP,1277.5,1262.33,1123.67,935.52,True,7.25,True,1.39,False,1.18,False,False,False,False,97,58.1,76.1,⚠️ W RSI>75,1308.11,1250.95,5
ANANDRATHI,3575.5,3555.39,3430.24,3021.1,True,4.08,True,1.14,False,0.98,False,False,True,False,96,56.9,65.4,,3623.62,3566.43,5
SYRMA,1038.85,1008.33,943.1,804.91,True,12.55,True,0.73,False,0.85,False,False,False,False,96,58.7,63.0,,1051.55,1017.48,5
IDEA,13.73,12.08,11.02,9.91,True,1.86,True,1.24,False,0.94,False,False,False,False,96,83.9,68.0,⚠️ D RSI>80,14.0,13.52,5
APARINDS,12782.0,12362.94,11525.65,9574.07,True,2.79,True,0.68,False,1.1,False,False,False,False,95,60.4,69.9,,13162.15,12712.28,5
GABRIEL,1120.0,1071.54,1018.88,975.69,True,19.16,False,0.52,True,0.9,False,False,False,False,95,65.2,56.9,,1128.63,1090.21,5
GESHIP,1666.1,1571.04,1476.69,1237.54,True,6.7,True,7.5,False,1.45,False,False,False,False,95,61.8,75.0,,1735.13,1653.34,5
KIRLOSENG,1671.0,1654.64,1568.34,1265.96,True,5.86,True,0.81,False,0.82,False,False,False,False,95,54.1,67.1,,1705.6,1645.35,5
DATAPATTNS,3969.7,3910.63,3666.99,3046.1,True,7.75,True,0.81,False,1.0,False,False,False,False,94,54.2,63.4,,4088.58,3940.06,5
SAIL,201.21,189.26,177.03,152.42,True,4.05,True,1.18,False,1.01,False,False,False,False,94,66.1,70.9,,202.36,195.4,5
HINDALCO,1109.2,1058.12,1014.23,889.51,True,0.52,True,0.9,False,1.03,False,False,False,False,93,64.2,66.7,,1116.11,1091.71,5
GRANULES,751.95,727.83,681.96,596.26,True,2.75,True,0.68,False,0.97,False,False,False,False,92,64.9,71.6,,772.27,749.25,5
THERMAX,4454.6,4318.38,3948.2,3451.33,True,8.72,True,0.76,False,0.91,False,False,False,False,92,59.6,67.6,,4640.64,4417.18,5
NLCINDIA,344.65,332.26,306.67,269.12,True,11.13,True,0.82,False,0.84,False,False,False,False,91,59.1,71.7,,354.15,340.56,5
ADANIGREEN,1362.3,1312.12,1183.07,1042.42,True,7.39,True,0.81,False,0.92,False,False,True,False,90,64.1,67.2,,1383.18,1357.64,5
HONASA,384.35,351.68,333.6,300.12,True,4.58,True,15.75,False,1.48,False,False,False,False,90,76.5,69.7,,403.2,378.67,5
SOLARINDS,18132.0,16660.32,15428.77,14105.93,True,3.03,True,1.64,False,1.14,False,False,False,False,90,74.5,71.5,,18497.48,18036.94,5
TRITURBINE,706.95,603.13,554.6,529.16,True,4.21,True,5.6,False,1.78,False,False,False,False,90,79.3,74.0,,738.74,692.31,5
ONESOURCE,1834.5,1781.51,1661.63,1631.94,True,18.39,False,0.37,True,0.98,False,False,False,False,89,61.9,59.7,,1875.77,1819.18,5
OFSS,9525.0,9125.23,8361.99,7819.43,True,4.74,True,1.02,False,1.41,False,False,False,False,89,67.1,68.3,,9779.77,9445.05,5
RADICO,3561.1,3420.7,3203.62,2967.99,True,3.2,True,0.6,False,1.02,False,False,False,False,88,67.1,68.8,,3598.49,3524.07,5
ABCAPITAL,357.3,349.96,343.2,318.92,True,4.96,True,1.14,False,0.96,False,False,False,False,87,56.4,55.2,,358.16,346.95,5
ABSLAMC,1011.7,1031.11,997.15,875.49,False,9.95,True,0.36,True,1.0,False,True,False,False,87,47.4,60.7,,1028.83,1004.09,5
ANGELONE,339.35,314.41,293.04,263.27,True,1.82,True,1.29,False,1.28,False,False,False,False,87,67.3,65.5,,346.0,335.31,5
RBLBANK,334.35,329.26,322.2,295.52,True,4.44,True,0.61,False,0.88,False,False,False,False,86,54.8,57.2,,336.34,327.17,5
