symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
ABCAPITAL,350.1,348.5,341.53,317.16,True,6.88,True,0.53,True,1.08,False,True,True,True,88,52.5,55.0,,354.75,348.25,8
ADANIPOWER,219.3,214.24,192.63,155.87,True,6.44,True,1.03,False,1.33,False,True,True,True,98,59.8,71.9,,223.72,217.81,7
EMCURE,1686.2,1659.46,1605.88,1458.67,True,7.86,True,0.44,True,0.58,True,False,True,False,91,54.9,58.3,,1701.1,1658.34,7
MCX,3348.4,3057.4,2816.82,2248.7,True,2.18,True,1.12,False,1.22,False,True,False,False,99,76.5,79.2,⚠️ W RSI>75,3372.37,3302.89,6
GVT&D,4426.8,4376.04,4116.29,3323.43,True,8.71,True,0.56,True,1.19,False,False,False,False,98,55.3,69.2,,4470.47,4247.55,6
POWERINDIA,32800.0,32016.51,29145.98,22864.44,True,6.54,True,0.79,False,1.1,False,True,False,False,98,60.1,73.0,,32982.95,31973.0,6
CUMMINSIND,5298.5,5232.35,5012.08,4385.1,True,3.14,True,0.55,True,1.11,False,False,False,False,95,56.7,66.0,,5365.36,5223.27,6
GRANULES,731.45,712.07,668.39,589.54,True,3.93,True,0.44,True,0.92,False,False,False,False,93,65.8,71.3,,737.54,720.43,6
NATCOPHARM,1165.6,1140.06,1071.85,947.33,True,4.99,True,0.4,True,1.22,False,False,False,False,93,59.5,71.1,,1193.19,1138.86,6
HINDALCO,1053.1,1043.42,1001.68,881.66,True,4.7,True,0.82,False,1.37,False,True,False,False,90,54.7,64.0,,1061.06,1042.96,6
NEULANDLAB,16327.0,16000.8,14951.26,14258.76,True,17.32,False,3.59,False,1.39,False,True,True,True,87,58.0,61.2,,16763.75,16243.74,6
NAVINFLUOR,6904.5,6790.79,6533.67,5844.34,True,4.1,True,0.41,True,0.96,False,False,False,False,85,59.3,62.7,,7078.57,6868.62,6
PNBHOUSING,1045.2,1026.53,954.97,909.12,True,8.0,True,0.57,True,0.92,False,True,False,False,72,60.3,68.7,,1058.16,1038.96,6
HFCL,139.69,128.43,105.37,83.27,True,10.05,True,1.53,False,1.18,False,False,False,False,99,66.9,87.1,⚠️ W RSI>75,148.15,136.96,5
