symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
HSCL,680.05,631.0,583.69,510.24,True,3.87,True,2.19,False,1.45,False,True,True,True,94,67.6,74.4,,705.2,672.48,7
SAILIFE,1181.2,1151.48,1094.59,960.98,True,4.7,True,0.8,False,0.9,False,True,True,True,89,58.6,74.6,,1206.2,1176.52,7
CEMPRO,1175.3,1039.41,895.43,756.24,True,6.53,True,0.76,False,1.25,False,True,False,False,99,68.1,73.1,,1220.12,1174.12,6
CHENNPETRO,1140.1,1117.92,1063.02,923.01,True,8.72,True,0.57,True,1.48,False,False,False,False,94,56.3,67.3,,1194.99,1134.86,6
MAHABANK,83.08,79.67,76.41,65.91,True,2.35,True,0.96,False,1.44,False,True,False,False,92,64.3,65.6,,84.48,82.75,6
CRAFTSMAN,8792.5,8774.96,8328.96,7372.69,True,9.71,True,0.45,True,0.91,False,False,False,False,91,53.8,71.0,,8956.95,8674.82,6
NEULANDLAB,16973.0,16782.89,15958.47,14782.71,True,14.05,True,0.49,True,0.88,False,False,False,False,91,57.2,59.1,,17256.24,16694.29,6
POLYCAB,9372.0,9367.08,8837.96,7797.78,True,4.69,True,0.58,True,1.11,False,False,False,False,90,55.2,70.6,,9534.52,9343.15,6
FEDERALBNK,309.75,297.9,290.73,263.65,True,2.19,True,0.78,False,1.14,False,True,False,False,87,67.0,63.8,,312.01,306.74,6
SHYAMMETL,969.45,955.77,911.46,874.26,True,4.39,True,0.72,False,0.91,False,True,True,True,78,59.1,64.6,,973.72,960.29,6
ZFCVINDIA,14602.0,14549.19,14534.97,14183.64,True,12.38,True,0.55,True,0.98,False,True,True,True,60,51.2,49.7,,14757.74,14503.48,6
ATHERENERG,1027.4,976.38,914.57,725.83,True,3.89,True,0.84,False,1.2,False,False,True,False,99,61.4,73.1,,1055.9,1015.73,5
ACUTAAS,3128.1,3047.19,2780.0,2122.3,True,9.18,True,1.11,False,1.35,False,False,False,False,98,59.1,92.4,⚠️ W RSI>75,3233.23,3066.93,5
SYRMA,1235.6,1138.24,1038.18,853.74,True,4.28,True,0.72,False,1.24,False,False,False,False,98,71.1,72.6,,1292.19,1218.88,5
IDEA,14.17,13.75,12.42,10.47,True,7.08,True,1.41,False,1.26,False,False,False,False,98,63.1,75.1,⚠️ W RSI>75,14.5,13.72,5
ADANIGREEN,1454.5,1433.56,1306.32,1098.31,True,5.85,True,1.01,False,1.15,False,False,False,False,97,56.5,76.8,⚠️ W RSI>75,1496.19,1448.95,5
APARINDS,14551.0,13286.76,12364.09,10068.17,True,2.8,True,1.44,False,1.12,False,False,False,False,97,68.4,75.1,⚠️ W RSI>75,14984.97,14010.98,5
LAURUSLABS,1390.8,1362.65,1262.42,1056.75,True,4.54,True,0.79,False,1.35,False,False,False,False,97,61.3,78.1,⚠️ W RSI>75,1410.31,1375.22,5
WELCORP,1389.4,1350.56,1231.92,989.03,True,2.63,True,0.64,False,1.16,False,False,True,False,97,60.0,79.4,⚠️ W RSI>75,1399.3,1360.84,5
BELRISE,220.39,218.11,211.05,179.27,True,6.81,True,2.33,False,1.37,False,False,False,False,96,53.4,65.5,,227.03,218.2,5
ACMESOLAR,334.45,321.18,299.34,265.97,True,8.32,True,1.33,False,1.19,False,False,False,False,95,61.5,72.0,,346.9,332.67,5
RRKABEL,2128.1,2045.81,1848.69,1525.72,True,4.99,True,0.71,False,1.0,False,False,False,False,95,63.7,79.7,⚠️ W RSI>75,2174.07,2061.84,5
ABDL,608.45,562.56,540.8,513.59,True,12.68,True,0.96,False,1.16,False,False,False,False,94,66.9,55.0,,612.61,559.44,5
HONASA,417.65,396.52,366.47,314.39,True,4.72,True,1.24,False,0.99,False,False,False,False,94,68.9,75.8,⚠️ W RSI>75,438.79,412.14,5
