symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_score,entry_trigger,stop_loss,score
NAVINFLUOR,7085.0,6619.9,6394.59,5759.26,True,1.6,True,1.29,False,0.73,False,False,False,False,26.1,7126.12,6978.51,3
SONACOMS,578.65,573.74,547.31,504.13,True,5.76,True,1.79,False,0.85,False,False,False,False,24.91,588.94,572.43,3
KARURVYSYA,313.55,294.58,291.29,260.92,True,8.71,True,1.0,False,1.02,False,False,False,False,24.42,322.32,304.3,3
COALINDIA,466.65,461.82,449.56,411.74,True,5.01,True,0.74,False,0.83,False,False,False,False,24.02,473.32,455.64,3
APARINDS,12801.0,11857.53,10925.85,9213.42,True,0.77,True,0.7,False,0.73,False,False,True,False,23.56,12874.86,12410.58,3
GRANULES,743.5,686.65,645.94,579.2,True,1.54,True,1.57,False,0.95,False,False,True,False,23.56,753.45,731.42,3
AUROPHARMA,1478.7,1397.98,1333.32,1219.69,True,1.32,True,0.81,False,1.21,False,False,False,False,23.03,1500.0,1467.83,3
DATAPATTNS,4250.1,3877.35,3514.12,2935.32,True,1.23,True,0.68,False,0.77,False,False,True,False,21.98,4284.28,4175.92,3
LAURUSLABS,1206.5,1121.25,1079.78,966.77,True,1.41,True,1.9,False,1.13,False,False,False,False,21.37,1224.92,1182.52,3
MAHABANK,85.31,77.34,72.33,62.69,True,0.69,True,0.82,False,0.77,False,False,False,False,20.74,85.99,83.63,3
GVT&D,4768.2,4360.77,4025.89,3248.71,True,1.12,True,1.02,False,0.81,False,False,False,False,19.53,4826.82,4575.42,3
BELRISE,227.94,212.66,201.05,168.84,True,0.29,True,0.84,False,0.81,False,False,False,False,19.48,228.83,222.1,3
SBIN,1092.0,1080.18,1078.89,989.34,True,11.56,True,0.65,False,0.94,False,False,False,False,19.25,1109.11,1085.01,3
ANANDRATHI,3614.2,3537.07,3360.96,2952.27,True,3.23,True,1.12,False,0.86,False,False,False,False,16.98,3702.7,3604.39,3
JBCHEPHARM,2143.2,2053.67,2020.89,1862.9,True,2.36,True,0.71,False,1.02,False,False,True,False,16.88,2169.17,2105.89,3
LLOYDSME,1726.7,1661.35,1496.11,1343.1,True,6.46,True,1.38,False,1.23,False,False,False,False,16.67,1774.77,1719.38,3
ABSLAMC,1088.6,1031.92,976.85,853.52,True,3.11,True,0.74,False,0.87,False,False,False,False,16.31,1124.62,1061.94,3
ANURAS,1367.0,1320.67,1294.33,1197.34,True,3.39,True,2.23,False,1.34,False,False,False,False,16.07,1416.41,1327.67,3
LUPIN,2460.1,2341.69,2302.74,2156.38,True,1.36,True,1.37,False,1.11,False,False,False,False,16.0,2496.49,2427.97,3
AJANTPHARM,3078.4,2874.34,2855.97,2732.32,True,4.63,True,2.13,False,1.15,False,False,True,False,13.95,3112.71,3051.94,3
ADANIENSOL,1387.1,1302.89,1170.9,1004.66,True,5.23,True,1.8,False,1.01,False,False,False,False,13.72,1412.11,1368.63,3
LINDEINDIA,7847.5,7335.15,7072.99,6568.96,True,2.5,True,1.55,False,1.15,False,False,False,False,13.62,8057.05,7543.45,3
RBLBANK,345.75,325.78,317.14,290.31,True,1.19,True,0.71,False,1.04,False,False,False,False,13.59,350.25,330.97,3
J&KBANK,139.63,129.83,122.86,110.42,True,3.7,True,1.0,False,1.04,False,False,False,False,12.19,145.14,137.44,3
SCHNEIDER,1343.4,1165.7,1026.97,854.29,True,1.94,True,0.76,False,1.07,False,False,False,False,12.02,1346.14,1218.78,3
HINDZINC,636.55,592.28,576.68,533.55,True,11.57,True,0.84,False,0.79,False,False,False,False,11.92,646.3,633.97,3
IPCALAB,1560.1,1523.28,1507.04,1447.11,True,3.93,True,0.89,False,1.18,False,False,False,False,10.55,1591.99,1553.54,3
JINDALSTEL,1258.2,1239.96,1205.54,1098.37,True,3.67,True,1.3,False,0.84,False,False,False,False,9.69,1285.68,1252.95,3
TIMKEN,3460.1,3457.39,3380.3,3159.25,True,5.97,True,0.7,False,0.79,False,False,False,False,8.92,3556.05,3442.05,3
RRKABEL,1927.0,1588.21,1495.64,1373.38,True,1.68,True,6.83,False,1.66,False,False,False,False,8.37,1961.96,1804.49,3
GLENMARK,2371.6,2317.67,2219.42,2007.95,True,4.14,True,0.92,False,0.84,False,False,True,False,8.04,2406.4,2353.34,3
MARICO,832.15,782.38,769.62,738.6,True,1.3,True,1.52,False,1.38,False,False,True,False,7.34,834.78,812.04,3
ADANIPOWER,230.19,209.0,183.98,151.35,True,1.8,True,0.92,False,0.77,False,False,False,False,7.11,233.7,229.27,3
SCI,319.6,293.3,269.45,232.93,True,2.8,True,1.1,False,0.8,False,False,True,False,7.02,322.72,310.74,3
AARTIIND,488.15,474.55,448.71,415.45,True,6.68,True,2.16,False,1.13,False,False,True,False,6.02,498.7,483.52,3
BHEL,406.45,341.3,306.11,268.59,True,0.47,True,2.65,False,1.45,False,False,False,False,5.59,408.76,383.07,3
CANFINHOME,886.3,876.03,868.74,837.87,True,8.77,True,0.75,False,0.84,False,False,True,False,5.26,910.46,882.82,3
KEI,5110.2,4836.3,4639.38,4240.59,True,3.64,True,1.92,False,1.29,False,False,False,False,5.15,5250.24,4951.64,3
BAJAJ-AUTO,10605.0,9835.89,9613.44,9126.12,True,1.26,True,1.6,False,1.2,False,False,False,False,4.9,10750.74,10314.18,3
ASTERDM,738.55,703.52,674.2,623.72,True,4.08,True,3.88,False,1.31,False,False,False,False,4.4,749.75,733.32,3
GICRE,399.35,395.3,387.35,380.98,True,8.15,True,1.02,False,1.02,False,False,False,False,4.27,405.2,397.55,3
ABCAPITAL,369.0,346.0,338.44,313.33,True,1.85,True,1.19,False,1.07,False,False,False,False,2.9,376.33,367.73,3
WELCORP,1299.2,1161.22,1018.12,888.87,True,0.22,True,0.75,False,0.77,False,False,False,False,2.78,1303.3,1279.82,3
NYKAA,269.85,263.82,258.96,244.17,True,5.51,True,0.64,False,1.01,False,False,False,False,2.77,279.53,268.38,3
MOTHERSON,130.43,122.96,120.85,112.45,True,3.9,True,0.77,False,0.89,False,False,False,False,2.62,131.53,126.67,3
DIVISLAB,6702.5,6409.18,6287.51,6248.58,True,4.79,True,1.04,False,0.99,False,False,False,False,2.31,6786.78,6676.32,3
3MINDIA,32650.0,32448.49,32797.93,32451.75,False,14.15,True,0.42,True,0.76,False,True,False,False,1.91,32992.96,32412.56,3
GMRAIRPORT,100.66,96.65,95.75,93.78,True,8.79,True,0.99,False,1.02,False,False,False,False,1.78,101.28,99.0,3
HSCL,614.9,560.15,513.45,474.54,True,6.04,True,2.34,False,1.31,False,False,True,False,1.75,647.15,609.39,3
DELHIVERY,481.75,460.97,446.66,417.73,True,1.68,True,1.07,False,0.88,False,False,False,False,1.74,484.98,471.93,3
LT,4023.0,3995.77,3945.12,3835.81,True,9.39,True,1.0,False,0.94,False,False,False,False,1.44,4069.87,3987.01,3
IDEA,11.23,10.1,9.95,9.49,True,12.27,True,0.96,False,1.46,False,False,True,False,1.29,11.4,11.1,3
CRAFTSMAN,8637.0,7660.08,7488.3,6969.76,True,1.63,True,9.46,False,1.33,False,False,False,False,0.93,8788.78,7696.8,3
SYRMA,1093.4,970.53,894.16,775.26,True,0.99,True,1.01,False,1.11,False,False,False,False,0.54,1105.45,1057.94,3
JSWSTEEL,1283.4,1249.84,1222.96,1158.99,True,1.79,True,0.6,False,0.72,False,False,False,False,0.51,1294.89,1267.33,3
ATUL,7033.5,6742.66,6541.84,6322.24,True,9.39,True,0.65,False,0.88,False,False,False,False,0.4,7187.18,6979.01,3
PHOENIXLTD,1829.5,1761.67,1718.09,1679.45,True,8.2,True,0.72,False,0.89,False,False,False,False,0.38,1857.76,1816.38,3
HFCL,146.24,109.54,91.88,78.46,True,0.97,True,3.87,False,1.33,False,False,False,False,-1.06,147.82,140.07,3
FINCABLES,1087.9,976.14,910.09,843.63,True,1.27,True,1.37,False,1.32,False,False,False,False,-1.24,1102.95,1046.95,3
LTF,303.65,285.26,280.72,261.66,True,7.83,True,0.61,False,0.88,False,False,False,False,-1.55,305.51,297.55,3
POLYCAB,9003.0,8107.42,7835.29,7313.54,True,0.52,True,1.52,False,1.13,False,False,False,False,-1.69,9059.05,8441.55,3
NUVAMA,1474.5,1345.18,1309.85,1304.24,True,9.09,True,1.7,False,1.16,False,False,False,False,-2.01,1480.08,1400.6,3
CESC,186.61,179.75,169.42,161.97,True,8.75,True,3.7,False,1.23,False,False,False,False,-2.4,190.39,183.82,3
