symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
KALYANKJIL,607.95,590.4,533.67,472.11,True,6.32,True,0.23,True,0.57,True,True,False,False,96,61.6,66.4,,610.96,600.55,8
NEULANDLAB,22905.0,21989.51,20155.14,16796.75,True,4.09,True,0.57,True,0.63,True,False,False,False,96,63.4,82.8,⚠️ W RSI>75,23422.4,22811.17,7
MOTHERSON,169.0,162.89,153.57,132.85,True,2.46,True,0.5,True,0.68,True,False,False,False,92,70.2,74.6,,169.31,166.54,7
DIVISLAB,8496.0,8267.62,7698.53,6874.87,True,2.05,True,0.54,True,0.59,True,False,False,False,88,67.6,80.2,⚠️ W RSI>75,8572.06,8449.04,7
TITAN,5079.0,4978.51,4756.26,4304.41,True,1.72,True,0.44,True,0.58,True,False,False,False,88,68.1,71.1,,5098.49,5044.95,7
VIJAYA,1482.4,1442.36,1379.03,1196.88,True,5.76,True,0.31,True,0.6,True,False,True,False,85,60.6,71.2,,1509.51,1474.52,7
ATHERENERG,1453.1,1418.82,1284.54,947.13,True,8.03,True,0.43,True,0.72,False,False,False,False,99,59.8,71.9,,1495.49,1443.26,6
AEGISLOG,1341.5,1325.31,1226.93,936.82,True,10.44,True,0.37,True,1.14,False,False,True,False,98,53.2,66.1,,1439.54,1335.66,6
FEDERALBNK,357.75,354.11,341.07,295.91,True,3.42,True,0.54,True,0.96,False,False,False,False,94,56.9,75.5,⚠️ W RSI>75,361.61,354.94,6
NATIONALUM,403.3,380.66,373.32,344.97,True,9.04,True,0.51,True,0.77,False,False,False,False,94,62.9,53.8,,405.4,397.1,6
SHRIRAMFIN,1119.0,1102.88,1062.56,958.16,True,3.01,True,0.5,True,0.87,False,False,False,False,94,57.5,62.5,,1138.44,1110.89,6
BHEL,411.4,414.38,405.0,344.06,False,7.86,True,0.4,True,0.9,False,True,True,True,92,49.1,65.0,,414.21,408.79,6
GRANULES,855.3,851.2,830.52,707.76,True,5.82,True,0.34,True,0.97,False,False,False,False,92,52.8,64.5,,869.07,845.15,6
HONASA,490.8,473.43,452.57,374.75,True,3.73,True,0.52,True,0.83,False,False,False,False,92,62.2,74.5,,493.49,478.42,6
PAYTM,1623.5,1516.49,1382.54,1220.14,True,2.06,True,1.23,False,0.85,False,True,False,False,92,70.7,70.7,,1640.14,1608.69,6
ANANDRATHI,2167.9,2135.53,2047.73,1758.62,True,2.78,True,0.35,True,0.88,False,False,False,False,91,61.2,80.3,⚠️ W RSI>75,2201.0,2157.84,6
CRAFTSMAN,10598.5,10320.38,9782.94,8392.19,True,3.3,True,0.45,True,0.81,False,False,False,False,91,61.2,70.4,,10810.8,10491.5,6
NYKAA,330.3,328.49,317.47,279.45,True,5.09,True,0.56,True,0.94,False,False,True,False,90,53.8,69.7,,334.23,327.72,6
KARURVYSYA,338.15,332.76,320.64,289.13,True,3.88,True,0.29,True,0.88,False,False,False,False,90,59.2,61.1,,339.34,333.92,6
GLAND,2801.6,2731.41,2540.29,2135.37,True,7.84,True,0.51,True,0.76,False,False,False,False,89,61.0,70.4,,2882.88,2788.21,6
NAVINFLUOR,8187.0,8070.8,7767.76,6784.56,True,6.71,True,0.47,True,0.72,False,False,True,False,89,56.3,68.1,,8346.34,8141.85,6
TVSMOTOR,4363.5,4271.91,4011.03,3655.6,True,2.49,True,0.46,True,0.72,False,False,False,False,89,63.7,70.3,,4410.41,4322.07,6
FLUOROCHEM,4622.6,4556.85,4305.07,3809.4,True,6.78,True,0.77,False,0.68,True,False,False,False,87,58.6,72.5,,4694.59,4550.74,6
RBLBANK,388.0,382.79,372.1,334.89,True,1.65,True,0.38,True,1.06,False,False,False,False,86,58.1,64.3,,394.89,385.86,6
RKFORGE,728.5,707.59,652.55,591.52,True,5.73,True,0.48,True,0.76,False,False,False,False,86,64.0,75.3,⚠️ W RSI>75,748.05,724.32,6
UNIONBANK,183.6,181.14,175.19,165.39,True,8.01,True,0.45,True,0.87,False,True,False,False,83,58.4,60.8,,184.88,181.84,6
APLAPOLLO,2145.0,2024.72,1942.24,1896.56,True,6.8,True,0.52,True,0.69,True,False,False,False,82,77.4,63.8,,2174.97,2129.67,6
ZENTEC,1903.3,1830.71,1780.8,1645.66,True,6.82,True,1.6,False,1.45,False,True,True,True,82,60.3,62.7,,1934.73,1893.1,6
UNITDSPR,1555.0,1515.58,1451.58,1371.29,True,0.54,True,0.63,False,1.0,False,True,True,True,76,65.4,65.2,,1559.06,1538.56,6
SAREGAMA,510.05,516.14,494.76,436.04,False,11.22,True,0.45,True,0.65,True,True,True,True,74,49.0,70.9,,519.17,506.49,6
PPLPHARMA,211.15,204.91,191.64,178.46,True,4.18,True,0.46,True,0.96,False,True,False,False,73,61.7,71.9,,215.11,209.63,6
LALPATHLAB,1883.8,1877.35,1787.15,1597.69,True,5.28,True,0.34,True,0.67,True,False,False,False,70,55.7,68.3,,1913.51,1874.12,6
PRESTIGE,1635.8,1608.31,1583.42,1526.76,True,9.27,True,0.58,True,0.79,False,True,True,True,63,55.2,56.0,,1643.24,1616.48,6
NIACL,184.08,180.14,175.8,167.54,True,14.86,True,0.14,True,0.73,False,True,True,True,58,57.5,58.5,,186.17,183.12,6
TATACAP,364.45,363.16,354.91,339.05,True,6.6,True,0.33,True,0.77,False,True,True,True,0,53.3,57.6,,366.67,361.29,6
HFCL,238.42,218.57,204.5,143.69,True,0.41,True,0.8,False,0.96,False,False,False,False,99,65.2,71.0,,239.65,227.9,5
WELCORP,2409.2,1915.13,1707.29,1275.49,True,0.53,True,5.84,False,1.91,False,False,False,False,99,91.6,85.7,⚠️ D+W OB,2424.42,2264.43,5
CHENNPETRO,1412.1,1320.95,1221.03,1018.33,True,5.21,True,1.51,False,0.97,False,False,False,False,98,62.9,73.2,,1453.45,1386.71,5
NETWEB,5454.5,5005.67,4696.52,3918.89,True,6.17,True,2.11,False,1.36,False,False,False,False,98,63.8,64.1,,5818.81,5403.09,5
RRKABEL,2869.9,2742.34,2519.92,1943.48,True,3.82,True,0.67,False,1.1,False,False,False,False,98,66.3,81.2,⚠️ W RSI>75,2986.78,2859.14,5
CARTRADE,3138.6,2846.07,2687.35,2360.25,True,4.62,True,0.7,False,1.19,False,False,True,False,97,71.1,64.9,,3152.15,3051.05,5
LAURUSLABS,1801.0,1781.86,1654.7,1303.47,True,3.73,True,0.75,False,0.8,False,False,False,False,97,59.8,81.1,⚠️ W RSI>75,1812.61,1788.21,5
REDINGTON,365.1,332.56,302.63,267.72,True,1.54,True,0.89,False,0.96,False,False,False,False,97,71.3,66.6,,371.17,351.9,5
SYRMA,1459.9,1439.46,1369.11,1080.53,True,5.29,True,0.85,False,0.95,False,False,False,False,97,55.7,75.7,⚠️ W RSI>75,1473.47,1439.56,5
APARINDS,16705.0,16157.73,15184.44,12340.68,True,9.53,True,0.9,False,0.91,False,False,False,False,96,58.2,64.6,,17117.1,16646.34,5
IIFL,696.4,624.77,581.91,527.71,True,1.22,True,1.93,False,1.42,False,False,False,False,95,80.4,71.4,⚠️ D RSI>80,705.7,680.82,5
RADICO,4600.0,4521.3,4221.61,3519.42,True,3.1,True,0.73,False,0.82,False,False,False,False,95,62.9,83.4,⚠️ W RSI>75,4639.53,4557.44,5
SONACOMS,813.5,789.07,729.29,601.25,True,3.61,True,0.89,False,0.86,False,False,False,False,95,66.5,81.4,⚠️ W RSI>75,825.12,805.29,5
WELSPUNLIV,190.43,171.82,163.43,145.09,True,2.34,True,4.41,False,1.28,False,False,False,False,94,72.9,70.3,,195.19,188.43,5
ACMESOLAR,409.15,379.69,365.4,310.33,True,0.57,True,2.08,False,1.31,False,False,False,False,93,69.9,67.0,,411.91,394.31,5
DATAPATTNS,4736.2,4565.35,4427.32,3760.88,True,5.28,True,1.2,False,1.19,False,False,False,False,93,58.3,64.1,,4894.69,4696.3,5
MCX,3268.0,2934.03,2867.68,2595.18,True,6.09,True,1.29,False,1.25,False,False,False,False,93,72.3,56.5,,3292.99,3176.92,5
PTCIL,21672.0,19296.15,18461.95,17364.34,True,0.59,True,2.25,False,1.48,False,False,False,False,93,74.2,65.2,,21821.8,20479.5,5
IDEA,14.07,13.61,13.48,11.79,True,8.28,True,0.88,False,0.94,False,False,False,False,93,60.1,61.1,,14.17,13.96,5
M&MFIN,378.7,382.75,359.45,326.66,False,8.75,True,0.34,True,0.72,False,True,False,False,91,51.1,66.3,,383.78,376.67,5
