symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_score,entry_trigger,stop_loss,score
ZFCVINDIA,14692.0,14619.72,14492.18,14008.89,True,11.84,True,0.43,True,0.75,False,True,True,True,12.01,14780.77,14531.45,6
AUBANK,1024.0,1001.78,976.52,888.62,True,5.15,True,0.44,True,0.64,True,False,False,False,20.8,1029.43,1001.0,5
ABB,7182.5,7057.87,6587.3,5787.37,True,7.81,True,0.53,True,0.69,True,False,False,False,19.49,7396.39,7127.86,5
ANGELONE,316.85,301.06,277.4,254.0,True,4.05,True,0.37,True,0.65,True,False,False,False,17.25,318.92,310.29,5
ZYDUSWELL,508.05,493.37,466.57,433.18,True,8.03,True,0.11,True,0.57,True,False,True,False,11.41,512.46,501.05,5
RRKABEL,1797.2,1552.54,1478.03,1365.72,True,2.06,True,7.08,False,1.52,False,True,True,True,9.78,1806.8,1766.23,5
ADANIENSOL,1407.3,1294.03,1162.08,1000.6,True,3.85,True,1.79,False,1.06,False,True,True,True,7.1,1423.42,1387.71,5
STARHEALTH,520.8,506.18,486.59,459.72,True,11.16,True,0.59,True,0.62,True,False,False,False,2.64,525.32,513.59,5
TATAPOWER,443.25,431.66,411.01,389.99,True,4.66,True,0.52,True,0.69,True,False,False,False,-1.24,446.75,439.06,5
MCX,2973.2,2825.64,2660.51,2164.29,True,2.23,True,0.5,True,0.88,False,False,False,False,63.48,2992.39,2908.09,4
KIRLOSENG,1709.2,1629.14,1508.65,1211.31,True,2.61,True,0.5,True,0.7,False,False,False,False,54.18,1754.15,1664.53,4
BSE,3852.1,3493.15,3216.52,2735.92,True,0.51,True,0.58,True,0.91,False,False,False,False,46.18,3875.87,3751.24,4
NATCOPHARM,1150.1,1087.1,1030.01,927.56,True,1.68,True,0.35,True,0.76,False,False,False,False,29.74,1170.97,1128.17,4
GVT&D,4563.1,4317.88,3995.59,3227.03,True,2.79,True,0.96,False,0.68,True,False,True,False,25.76,4624.62,4517.38,4
HINDALCO,1045.8,1023.12,980.18,868.17,True,3.17,True,0.54,True,0.86,False,False,False,False,21.72,1074.77,1041.36,4
AIAENG,3912.0,3899.47,3834.78,3642.55,True,6.99,True,0.3,True,0.94,False,False,True,False,19.74,3960.96,3852.14,4
ABSLAMC,1066.7,1025.95,972.28,851.16,True,2.96,True,0.58,True,0.73,False,False,True,False,19.66,1076.07,1049.05,4
ANURAS,1360.4,1315.79,1291.37,1195.63,True,3.31,True,1.32,False,1.17,False,True,False,False,17.7,1382.68,1348.65,4
CUMMINSIND,5324.5,5125.33,4885.26,4289.44,True,0.58,True,0.46,True,0.81,False,False,False,False,16.86,5360.86,5225.27,4
TATASTEEL,215.47,209.77,203.73,184.55,True,1.27,True,0.58,True,0.81,False,False,False,False,16.19,216.95,212.21,4
